CSO_LEA,TOTPOP22
ADARE-RATHKEALE,"29,311.00"
ARDEE,"27,034.00"
ARKLOW,"27,866.00"
ARTANE-WHITEHALL,"52,137.00"
ASHBOURNE,"33,516.00"
ATHENRY-ORANMORE,"35,105.00"
ATHLONE-LEA 5,"24,308.00"
ATHLONE-LEA 6,"21,130.00"
ATHY,"28,641.00"
BAILIEBOROUGH-COOTEHILL,"26,209.00"
BALBRIGGAN,"40,476.00"
BALLINA,"25,858.00"
BALLINAMORE,"10,879.00"
BALLINASLOE,"29,855.00"
BALLYBAY-CLONES,"18,421.00"
BALLYFERMOT-DRIMNAGH,"48,563.00"
BALLYJAMESDUFF,"27,980.00"
BALLYMAHON,"17,922.00"
BALLYMOTE-TOBERCURRY,"28,449.00"
BALLYMUN-FINGLAS,"56,305.00"
BALTINGLASS,"28,041.00"
BANDON-KINSALE,"40,387.00"
BANTRY-WEST CORK,"24,030.00"
BELMULLET,"12,683.00"
BIRR,"27,004.00"
BLACKROCK,"34,280.00"
BLANCHARDSTOWN-MULHUDDART,"40,022.00"
BORRIS-IN-OSSORY-MOUNTMELLICK,"26,452.00"
BOYLE,"24,421.00"
BRAY EAST,"17,728.00"
BRAY WEST,"19,144.00"
BUNCRANA,"22,618.00"
CABRA-GLASNEVIN,"63,073.00"
CAHIR,"15,387.00"
CALLAN-THOMASTOWN,"26,818.00"
CAPPAMORE-KILMALLOCK,"36,500.00"
CARLOW,"25,168.00"
CARNDONAGH,"17,736.00"
CARRICK-ON-SHANNON,"12,634.00"
CARRICK-ON-SUIR,"20,191.00"
CARRICKMACROSS-CASTLEBLAYNEY,"23,469.00"
CARRIGALINE,"39,145.00"
CASHEL-TIPPERARY,"29,145.00"
CASTLEBAR,"32,080.00"
CASTLECOMER,"24,863.00"
CASTLEISLAND,"18,033.00"
CASTLEKNOCK,"47,149.00"
CAVAN-BELTURBET,"27,515.00"
CELBRIDGE,"22,718.00"
CLANE,"31,210.00"
CLAREMORRIS,"29,336.00"
CLONDALKIN,"52,878.00"
CLONMEL,"25,003.00"
CLONTARF,"56,957.00"
COBH,"37,214.00"
CONAMARA NORTH,"18,053.00"
CONAMARA SOUTH,"23,345.00"
CORCA DHUIBHNE,"14,971.00"
CORK CITY NORTH EAST,"44,235.00"
CORK CITY NORTH WEST,"42,306.00"
CORK CITY SOUTH CENTRAL,"41,000.00"
CORK CITY SOUTH EAST,"45,400.00"
CORK CITY SOUTH WEST,"51,063.00"
DONAGHMEDE,"47,080.00"
DONEGAL,"27,924.00"
DROGHEDA RURAL,"19,845.00"
DROGHEDA URBAN,"28,537.00"
DÚN LAOGHAIRE,"46,603.00"
DUNDALK SOUTH,"38,195.00"
DUNDALK-CARLINGFORD,"26,092.00"
DUNDRUM,"31,861.00"
DUNGARVAN,"22,335.00"
EDENDERRY,"25,188.00"
ENNIS,"33,952.00"
ENNISCORTHY,"29,314.00"
ENNISTIMON,"18,052.00"
FERMOY,"38,935.00"
FIRHOUSE-BOHERNABREENA,"37,643.00"
GALWAY CITY CENTRAL,"29,705.00"
