Variable,Label,Type,Units,Value_Labels,Missing_Values,Valid_Ranges,Unique_Values,Source,Derived_Raw,Notes
CSO_LEA,Name of the Local Electoral Area,character,,,0,,166,"CSO Census 2022
SAP2022T1T1LEA22

https://data.cso.ie/table/SAP2022T1T1LEA22
",Raw,Standard LEA names of Ireland
p_age_12to17,Proportion aged 12-17 years,numeric,Proportion,compositional,0,0.051 to 0.15,166,"CSO Census 2022
SAP2022T1T1LEA22

https://data.cso.ie/table/SAP2022T1T1LEA22
",Derived,Marginal distribution of the population aged 12–17
p_age_18to54,Proportion aged 18-54 years,numeric,Proportion,compositional,0,0.423 to 0.767,166,"CSO Census 2022
SAP2022T1T1LEA22

https://data.cso.ie/table/SAP2022T1T1LEA22
",Derived,Marginal distribution of the population aged 18-54
p_age_55to64,Proportion aged 55-64 years,numeric,Proportion,compositional,0,0.086 to 0.191,166,"CSO Census 2022
SAP2022T1T1LEA22

https://data.cso.ie/table/SAP2022T1T1LEA22
",Derived,Marginal distribution of the population aged 55-64
p_age_65to70,Proportion aged 65-70 years,numeric,Proportion,compositional,0,0.05 to 0.178,166,"CSO Census 2022
SAP2022T1T1LEA22

https://data.cso.ie/table/SAP2022T1T1LEA22
",Derived,Marginal distribution of the population aged 65-70
p_age_71plus,Proportion aged over 71 years,numeric,Proportion,compositional,0,0.019 to 0.137,166,"CSO Census 2022
SAP2022T1T1LEA22

https://data.cso.ie/table/SAP2022T1T1LEA22
",Derived,Marginal distribution of the population aged over 71
p_sex_male,Proportion of males,numeric,Proportion,compositional,0,0.458 to 0.526,166,"CSO Census 2022
SAP2022T1T1LEA22

https://data.cso.ie/table/SAP2022T1T1LEA22
",Derived,Marginal distribution of the male population in each LEA
p_sex_female,Proportion of females,numeric,Proportion,compositional,0,0.474 to 0.542,166,"CSO Census 2022
SAP2022T1T1LEA22

https://data.cso.ie/table/SAP2022T1T1LEA22
",Derived,Marginal distribution of the female population in each LEA
p_edu_NoFormal,Proportion of people with no formal education,numeric,Proportion,compositional,0,0.008 to 0.089,166,"CSO Census 2022
SAP2022T10T4LEA22

https://data.cso.ie/table/SAP2022T10T4LEA22",Derived,Marginal distribution of the population with no formal education
p_edu_Primary,Proportion of people with primary education,numeric,Proportion,compositional,0,0.021 to 0.267,166,"CSO Census 2022
SAP2022T10T4LEA22

https://data.cso.ie/table/SAP2022T10T4LEA22",Derived,Marginal distribution of the population with primary education
p_edu_UpperSecondary,Proportion of people with upper secondary education,numeric,Proportion,compositional,0,0.114 to 0.391,166,"CSO Census 2022
SAP2022T10T4LEA22

https://data.cso.ie/table/SAP2022T10T4LEA22",Derived,Marginal distribution of the population with an upper secondary education
p_edu_Apprenticeship,Proportion of people with advanced certificate or completed apprenticeship,numeric,Proportion,compositional,0,0.041 to 0.176,166,"CSO Census 2022
SAP2022T10T4LEA22

https://data.cso.ie/table/SAP2022T10T4LEA22",Derived,Marginal distribution of the population who completed an apprenticeship or hold an advanced certificate
p_edu_HonoursBachelor,Proportion of people with an honours bachelor degree,numeric,Proportion,compositional,0,0.115 to 0.36,166,"CSO Census 2022
SAP2022T10T4LEA22

https://data.cso.ie/table/SAP2022T10T4LEA22",Derived,Marginal distribution of the population who have completed an honours bachelor's degree
p_edu_Postgraduate,Proportion of people with postgraduate education,numeric,Proportion,compositional,0,0.084 to 0.449,166,"CSO Census 2022
SAP2022T10T4LEA22

https://data.cso.ie/table/SAP2022T10T4LEA22",Derived,Marginal distribution of the population who have completed postgraduate education
p_health_VeryBad,Proportion of people with very bad self-reported health,numeric,Proportion,compositional,0,0.002 to 0.007,166,"CSO Census 2022
SAP2022T12T3LEA22

https://data.cso.ie/table/SAP2022T12T3LEA22",Derived,Marginal distribution of the population with very bad health
p_health_Bad,Proportion of people with bad self-reported health,numeric,Proportion,compositional,0,0.008 to 0.026,166,"CSO Census 2022
SAP2022T12T3LEA22

https://data.cso.ie/table/SAP2022T12T3LEA22",Derived,Marginal distribution of the population with bad health
p_health_Fair,Proportion of people with fair self-reported health,numeric,Proportion,compositional,0,0.061 to 0.148,166,"CSO Census 2022
SAP2022T12T3LEA22

https://data.cso.ie/table/SAP2022T12T3LEA22",Derived,Marginal distribution of the population with fair health
