CSO_LEA,p_age_12to17,p_age_18to54,p_age_55to64,p_age_65to70,p_age_71plus,p_male,p_female,p_edu_NoFormal,p_edu_Primary,p_edu_UpperSecondary,p_edu_Apprenticeship,p_edu_HonoursBachelor,p_edu_Postgraduate,p_health_VeryBad,p_health_Bad,p_health_Fair,p_health_Good,p_health_VeryGood,Wt_accessibility_Initial_Vacc,accessibility_Pharmacy10,accessibility_10,Index22_rel,AGEDEP22,ED_LOW22,EDHIGH22,UNEMPM22,UNEMPF22,p_age_12to17_females,p_age_12to17_males,p_age_18to54_females,p_age_18to54_males,p_age_55to64_females,p_age_55to64_males,p_age_65to70_females,p_age_65to70_males,p_age_71plus_females,p_age_71plus_males
ADARE-RATHKEALE,0.107471413,0.504771731,0.164302296,0.131330066,0.092124495,0.496775858,0.503224142,0.040800071,0.134702186,0.327639614,0.124347287,0.216302328,0.156208514,0.003759536,0.015366646,0.092710881,0.323940577,0.56422236,0.625261177,23.80635562,9.443468611,0.950476033,37.46033912,10.60087672,38.22837592,6.23015873,6.441326531,0.049780758,0.057690654,0.256813688,0.247958043,0.081549308,0.082752988,0.064955722,0.066374344,0.050124667,0.041999828
ARDEE,0.126323218,0.543824982,0.147447659,0.103505058,0.078899083,0.497765232,0.502234768,0.063173217,0.155943717,0.307714702,0.135177098,0.201358564,0.136632703,0.003214189,0.013398908,0.095225187,0.307710181,0.580451535,1.313249356,22.86555455,5.611021701,-1.400383047,35.19641932,13.34357641,35.24997045,7.944055944,7.841788478,0.06116208,0.065161139,0.276358504,0.267466478,0.071371442,0.076076217,0.050247001,0.053258057,0.043095742,0.03580334
ARKLOW,0.120059489,0.532786516,0.156203524,0.113119113,0.077831358,0.494434179,0.505565821,0.054545455,0.145454545,0.337121212,0.151704545,0.183996212,0.12717803,0.003847169,0.016520198,0.096556406,0.319390488,0.563685739,0.570178481,15.33068699,5.571875575,-3.520284381,35.60970358,11.99182376,34.40267999,10.24172139,9.895658028,0.058542521,0.061516968,0.27373924,0.259047276,0.076749741,0.079453783,0.05633422,0.056784893,0.040200099,0.037631259
ARTANE-WHITEHALL,0.087491587,0.548336698,0.142366119,0.095735987,0.126069609,0.471853668,0.528146332,0.048070991,0.196697195,0.314620605,0.123712808,0.17956627,0.137332131,0.005195683,0.022155575,0.118845967,0.330538366,0.52326441,0.675202543,47.55613997,16.05062573,-6.371849946,34.41509868,15.76598606,32.73627583,10.87230416,8.969912076,0.043817902,0.043673685,0.282040188,0.26629651,0.074079415,0.068286703,0.052543025,0.043192962,0.075665801,0.050403807
ASHBOURNE,0.124256884,0.591989987,0.126329787,0.098678035,0.058745307,0.493742178,0.506257822,0.032082962,0.096005833,0.328607308,0.134732237,0.236895406,0.171676254,0.00243347,0.010981811,0.07369045,0.310048981,0.602845287,1.444650943,23.76056558,7.486190291,3.734560243,35.96192863,7.98444523,42.59885864,5.343595382,7.064160726,0.061013767,0.063243116,0.300492804,0.291497184,0.06363423,0.062695557,0.050649249,0.048028786,0.030467772,0.028277534
ATHENRY-ORANMORE,0.124542125,0.566630037,0.140879121,0.096446886,0.071501832,0.495824176,0.504175824,0.028699615,0.101837345,0.284574847,0.11622276,0.253453924,0.215211508,0.002342337,0.010080944,0.076407626,0.305660154,0.605508939,2.758595659,22.29682474,13.92519823,5.238214536,35.74134739,8.522410266,47.43816254,5.55024939,5.796224589,0.06029304,0.064249084,0.286923077,0.27970696,0.06956044,0.071318681,0.048168498,0.048278388,0.039230769,0.032271062
ATHLONE,0.120127719,0.526296765,0.158985481,0.113621302,0.080968733,0.494065908,0.505934092,0.03437985,0.112450758,0.345469739,0.112928256,0.228005252,0.166766145,0.003251071,0.012314664,0.082064923,0.306044037,0.596325304,1.430516885,28.03727024,4.114689271,-1.097654084,34.40842521,10.89149681,42.58458582,10.73825503,10.54953134,0.058858967,0.061268751,0.268871619,0.257425146,0.07843846,0.080547021,0.055605759,0.058015543,0.044159287,0.036809446
ATHLONE_WESTMEATH,0.094464595,0.567576092,0.140514114,0.114072439,0.083372759,0.495137465,0.504862535,0.038429231,0.128202436,0.314048719,0.106572869,0.220600588,0.192146157,0.003614512,0.016626756,0.099263543,0.33483938,0.545655808,0.882890309,28.88037301,5.2330782,2.491953498,36.38428774,9.170891739,40.97077244,6.295355588,6.125897761,0.045681543,0.048783052,0.284340009,0.283236083,0.071702676,0.068811439,0.057772171,0.056300268,0.045366136,0.038006624
ATHY,0.126203161,0.556341496,0.145006044,0.103415857,0.069033442,0.495724583,0.504275417,0.051774178,0.139780919,0.360827638,0.149236963,0.180601067,0.117779234,0.004260633,0.017593477,0.099169911,0.314993021,0.563982957,0.512271874,24.4138086,5.794878724,-4.066555248,34.86610104,11.64882715,32.84559326,10.62017567,10.5245517,0.061019833,0.065183328,0.284684604,0.271656892,0.069749743,0.075256301,0.050588709,0.052827148,0.038232529,0.030800913
BAILIEBOROUGH-COOTEHILL,0.117493857,0.527272727,0.155921376,0.116658477,0.082653563,0.501081081,0.498918919,0.069867652,0.168154304,0.334667077,0.157073971,0.16682056,0.103416436,0.002786314,0.014464249,0.08494161,0.302233149,0.595574677,1.953587257,22.28744116,6.232291849,-3.883645688,37.7236827,14.32540908,30.28712566,7.553854875,8.176555716,0.057395577,0.06009828,0.263439803,0.263832924,0.075823096,0.08009828,0.057592138,0.059066339,0.044668305,0.037985258
BALBRIGGAN,0.139458759,0.596532167,0.121860314,0.089645114,0.052503646,0.481348242,0.518651758,0.035579107,0.089395086,0.335352006,0.138531416,0.21863602,0.182506366,0.00389975,0.016144967,0.088290349,0.318869592,0.572795341,0.164099963,24.9907805,7.365865348,0.798348926,34.63039826,7.999295216,42.82882565,9.285501932,8.907544701,0.066277751,0.073181008,0.315086696,0.281445471,0.061383892,0.060476422,0.046118943,0.043526171,0.029784476,0.02271917
