CSO_LEA,Census Year,Sex,A_12-17,A_18-54,A_55-64,A_65-70,A_>71,Population
ADARE-RATHKEALE,2022,Females,1158,5974,1897,1511,1166,11706
ADARE-RATHKEALE,2022,Males,1342,5768,1925,1544,977,11556
ARDEE,2022,Females,1300,5874,1517,1068,916,10675
ARDEE,2022,Males,1385,5685,1617,1132,761,10580
ARKLOW,2022,Females,1299,6074,1703,1250,892,11218
ARKLOW,2022,Males,1365,5748,1763,1260,835,10971
ARTANE-WHITEHALL,2022,Females,1823,11734,3082,2186,3148,21973
ARTANE-WHITEHALL,2022,Males,1817,11079,2841,1797,2097,19631
ASHBOURNE,2022,Females,1560,7683,1627,1295,779,12944
ASHBOURNE,2022,Males,1617,7453,1603,1228,723,12624
ATHENRY-ORANMORE,2022,Females,1646,7833,1899,1315,1071,13764
ATHENRY-ORANMORE,2022,Males,1754,7636,1947,1318,881,13536
ATHLONE,2022,Females,977,4463,1302,923,733,8398
ATHLONE,2022,Males,1017,4273,1337,963,611,8201
ATHLONE_WESTMEATH,2022,Females,869,5409,1364,1099,863,9604
ATHLONE_WESTMEATH,2022,Males,928,5388,1309,1071,723,9419
ATHY,2022,Females,1363,6359,1558,1130,854,11264
ATHY,2022,Males,1456,6068,1681,1180,688,11073
BAILIEBOROUGH-COOTEHILL,2022,Females,1168,5361,1543,1172,909,10153
BAILIEBOROUGH-COOTEHILL,2022,Males,1223,5369,1630,1202,773,10197
BALBRIGGAN,2022,Females,2045,9722,1894,1423,919,16003
BALBRIGGAN,2022,Males,2258,8684,1866,1343,701,14852
BALLINA,2022,Females,1027,5184,1672,1417,1155,10455
BALLINA,2022,Males,1151,4950,1642,1404,1004,10151
BALLINAMORE,2022,Females,448,2126,698,625,454,4351
BALLINAMORE,2022,Males,471,2021,780,667,411,4350
BALLINASLOE,2022,Females,1220,5830,1856,1588,1443,11937
BALLINASLOE,2022,Males,1211,5722,1891,1628,1221,11673
BALLYBAY-CLONES,2022,Females,838,3616,1029,880,664,7027
BALLYBAY-CLONES,2022,Males,888,3736,1112,942,612,7290
BALLYFERMOT-DRIMNAGH,2022,Females,1655,11391,2820,2106,1786,19758
BALLYFERMOT-DRIMNAGH,2022,Males,1769,11578,2697,1971,1085,19100
BALLYJAMESDUFF,2022,Females,1362,5936,1531,1107,905,10841
BALLYJAMESDUFF,2022,Males,1418,5769,1660,1202,835,10884
BALLYMAHON,2022,Females,756,3995,953,749,560,7013
BALLYMAHON,2022,Males,842,3925,987,782,497,7033
BALLYMOTE-TOBERCURRY,2022,Females,1258,5565,1904,1512,1244,11483
BALLYMOTE-TOBERCURRY,2022,Males,1332,5338,1875,1567,1103,11215
BALLYMUN-FINGLAS,2022,Females,2210,13145,3281,2251,2513,23400
BALLYMUN-FINGLAS,2022,Males,2331,12182,2996,2032,1618,21159
BALTINGLASS,2022,Females,1273,5963,1748,1218,945,11147
BALTINGLASS,2022,Males,1341,5668,1749,1254,921,10933
BANDON-KINSALE,2022,Females,1879,8687,2323,1670,1471,16030
BANDON-KINSALE,2022,Males,2015,8344,2448,1733,1156,15696
BANTRY-WEST CORK,2022,Females,879,4426,1927,1489,1232,9953
BANTRY-WEST CORK,2022,Males,982,4323,1859,1611,1090,9865
BELMULLET,2022,Females,473,2264,912,908,753,5310
BELMULLET,2022,Males,463,2217,920,980,699,5279
BIRR,2022,Females,1049,5435,1641,1453,1089,10667
