CSO_LEA,p_age_12to17,p_age_18to54,p_age_55to64,p_age_65to70,p_age_71plus,p_edu_NoFormal,p_edu_Primary,p_edu_UpperSecondary,p_edu_Apprenticeship,p_edu_HonoursBachelor,p_edu_Postgraduate,p_health_VeryBad,p_health_Bad,p_health_Fair,p_health_Good,p_health_VeryGood,Weighted_Access_Initial_Vacc_Center,Access_Pharmacies,Access_GPs,Index22_rel,UNEMPM22,UNEMPF22,p_age_12to17_sex_female,p_age_12to17_sex_male,p_age_18to54_sex_female,p_age_18to54_sex_male,p_age_55to64_sex_female,p_age_55to64_sex_male,p_age_65to70_sex_female,p_age_65to70_sex_male,p_age_71plus_sex_female,p_age_71plus_sex_male,p_sex_female,p_sex_male
ADARE-RATHKEALE,0.107471412604247,0.504771730719629,0.164302295589373,0.13133006620239,0.0921244948843608,0.0408000708027259,0.134702186034162,0.327639614125144,0.124347287370564,0.216302327639614,0.15620851402779,0.00375953571558929,0.0153666459831368,0.0927108807533672,0.323940577435486,0.564222360112421,0.625261176902765,23.8063556222483,9.44346861108998,0.950476033461445,6.23015873015873,6.44132653061224,0.049780758318287335,0.05769065428595994,0.25681368755910927,0.2479580431605193,0.08154930788410283,0.0827529877052704,0.06495572177800706,0.06637434442438311,0.05012466683862093,0.04199982804573983,0.5032241423781274,0.4967758576218726
ARDEE,0.126323218066337,0.543824982357092,0.147447659374265,0.103505057633498,0.0788990825688073,0.0631732168850073,0.155943716642407,0.307714701601164,0.135177098495876,0.201358563803979,0.136632702571567,0.00321418890136699,0.0133989079502769,0.0952251868489331,0.307710180846532,0.580451535452891,1.31324935612161,22.8655545454853,5.61102170128378,-1.40038304650632,7.94405594405594,7.84178847807395,0.06116207951070336,0.06516113855563396,0.2763585038814397,0.2674664784756528,0.07137144201364384,0.07607621736062103,0.050247000705716305,0.0532580569277817,0.04309574217831098,0.035803340390496353,0.5022347682898142,0.49776523171018583
ARKLOW,0.120059488935959,0.532786515841183,0.156203524268782,0.113119113074046,0.0778313578800306,0.0545454545454545,0.145454545454545,0.337121212121212,0.151704545454545,0.183996212121212,0.12717803030303,0.00384716931316712,0.0165201976388941,0.0965564062912534,0.319390487685286,0.563685739071399,0.570178481281406,15.3306869873054,5.57187557457838,-3.52028438122039,10.2417213916445,9.89565802760014,0.058542521068998155,0.061516967866961106,0.27373924016404527,0.2590472756771373,0.07674974086258957,0.07945378340619226,0.05633421965838929,0.05678489341565641,0.0402000991482266,0.03763125873180405,0.5055658209022489,0.4944341790977511
ARTANE-WHITEHALL,0.0874915873473704,0.548336698394385,0.142366118642438,0.0957359869243342,0.126069608691472,0.0480709913159019,0.196697195463389,0.314620604565083,0.123712807858397,0.179566269634129,0.1373321311631,0.00519568293661689,0.0221555747988257,0.118845967009525,0.330538365683148,0.523264409571884,0.67520254264749,47.5561399665609,16.0506257348069,-6.37184994561899,10.8723041577114,8.96991207550214,0.043817902124795693,0.043673685222574754,0.2820401884434189,0.26629650995096626,0.074079415440823,0.06828670320161523,0.052543024709162583,0.04319296221517162,0.07566580136525335,0.05040380732621863,0.5281463320834535,0.4718536679165465
ASHBOURNE,0.124256883604506,0.591989987484355,0.126329787234043,0.0986780350438048,0.0587453066332916,0.0320829620027546,0.0960058332658187,0.32860730778579,0.134732236895406,0.236895406303168,0.171676253747063,0.00243346956603126,0.0109818113749103,0.0736904501918697,0.310048981374598,0.60284528749259,1.44465094252141,23.7605655845753,7.48619029124205,3.734560242628,5.34359538207807,7.06416072585872,0.06101376720901126,0.06324311639549436,0.30049280350438046,0.291497183979975,0.06363423028785982,0.06269555694618273,0.05064924906132666,0.048028785982478096,0.030467772215269088,0.02827753441802253,0.5062578222778473,0.4937421777221527
ATHENRY-ORANMORE,0.124542124542125,0.566630036630037,0.140879120879121,0.0964468864468864,0.0715018315018315,0.0286996154393961,0.101837345107535,0.284574846887908,0.116222760290557,0.253453923942458,0.215211508332146,0.00234233700002965,0.0100809440507605,0.076407625937676,0.305660153586148,0.605508939425386,2.75859565874123,22.2968247412099,13.9251982349979,5.23821453645717,5.55024938979094,5.79622458857696,0.06029304029304029,0.06424908424908425,0.28692307692307695,0.2797069597069597,0.06956043956043956,0.07131868131868131,0.04816849816849817,0.048278388278388276,0.03923076923076923,0.03227106227106227,0.5041758241758242,0.4958241758241758
ATHLONE,0.120127718537261,0.526296764865353,0.158985481053076,0.113621302488102,0.0809687330562082,0.034379849588158,0.112450758027934,0.345469738569894,0.11292825593888,0.22800525247702,0.166766145398114,0.00325107137579429,0.0123146643022511,0.0820649229102015,0.306044037239545,0.596325304172208,1.43051688498331,28.0372702427907,4.1146892708825,-1.09765408397499,10.738255033557,10.5495313361514,0.05885896740767516,0.06126875112958612,0.2688716187722152,0.25742514609313816,0.0784384601482017,0.08054702090487378,0.055605759383095366,0.058015543105006326,0.044159286704018315,0.03680944635218989,0.5059340924152057,0.49406590758479424
ATHLONE_WESTMEATH,0.0944645954896704,0.567576092099038,0.140514114492982,0.114072438626925,0.0833727592913841,0.0384292314153717,0.128202435951281,0.314048719025619,0.106572868542629,0.22060058798824,0.192146157076858,0.003614512266751,0.0166267564270546,0.0992635431256495,0.334839380111146,0.545655808069399,0.882890309449864,28.8803730144315,5.23307819987627,2.49195349828727,6.29535558780842,6.12589776087875,0.04568154339483783,0.04878305209483257,0.2843400094622299,0.28323608263680805,0.07170267570835305,0.06881143878462913,0.05777217053041055,0.05630026809651475,0.045366135730431585,0.03800662356095253,0.504862534826263,0.4951374651737371
ATHY,0.126203160675113,0.55634149617227,0.145006043783856,0.103415857098088,0.069033442270672,0.0517741784477109,0.13978091938957,0.360827637861623,0.149236962831196,0.180601067315794,0.117779234154105,0.00426063321824726,0.0175934768236245,0.099169911114376,0.314993021376625,0.563982957467127,0.512271873539717,24.413808602873,5.79487872367487,-4.06655524787758,10.6201756720788,10.5245517010223,0.06101983256480279,0.06518332811031025,0.2846846040202355,0.27165689215203476,0.06974974257957649,0.0752563012042799,0.05058870931638089,0.05282714778170748,0.038232528987778125,0.030800913282893853,0.5042754174687738,0.4957245825312262
BAILIEBOROUGH-COOTEHILL,0.117493857493857,0.527272727272727,0.155921375921376,0.116658476658477,0.0826535626535626,0.0698676515851031,0.168154303888376,0.334667077049349,0.157073971478404,0.166820560172361,0.103416435826408,0.00278631427986068,0.0144642491292768,0.0849416103257529,0.302233148944888,0.595574677320221,1.95358725651893,22.28744115809,6.23229184883425,-3.88364568826011,7.55385487528345,8.17655571635311,0.057395577395577393,0.060098280098280096,0.26343980343980344,0.26383292383292384,0.07582309582309582,0.0800982800982801,0.05759213759213759,0.05906633906633907,0.04466830466830467,0.03798525798525799,0.49891891891891893,0.5010810810810811
BALBRIGGAN,0.139458758710096,0.596532166585643,0.121860314373683,0.0896451142440447,0.0525036460865338,0.0355791067373202,0.0893950863670773,0.335352006056018,0.138531415594247,0.218636019544422,0.182506365700915,0.00389975041597337,0.0161449667221298,0.0882903494176373,0.31886959234609,0.57279534109817,0.164099962811408,24.9907804958167,7.36586534810813,0.798348925843913,9.28550193241502,8.90754470126472,0.06627775076972937,0.07318100794036624,0.3150866958353589,0.2814454707502836,0.06138389239993518,0.060476421973748175,0.04611894344514665,0.04352617079889807,0.029784475773780586,0.022719170312753202,0.5186517582239507,0.4813482417760493
BALLINA,0.105697369698146,0.491798505289721,0.160826943608658,0.136901873240804,0.104775308162671,0.0625455207574654,0.164785142024763,0.380553532410779,0.11717042971595,0.165877640203933,0.109067734887109,0.00365877908132829,0.0172996619606283,0.10988268045337,0.332113740306224,0.537045138198449,0.0248890075609628,19.1194934239795,8.23933181032406,-6.86962157742721,12.450624111234,10.097192224622,0.04983985247015432,0.05585751722799185,0.2515772105212074,0.24022129476851403,0.08114141512180918,0.0796855284868485,0.0687663787246433,0.06813549451616034,0.056051635445986604,0.04872367271668446,0.5073764922838009,0.49262350771619917
BALLINAMORE,0.105620043673141,0.47661188369153,0.169865532697391,0.148488679462131,0.0994138604758074,0.0665745219995393,0.151347615756738,0.321354526606773,0.161944252476388,0.183598249251325,0.115180833909238,0.00200573065902578,0.0169054441260745,0.10487106017192,0.323686723973257,0.552531041069723,0.267862644513314,9.01084068958384,2.84015323661612,-3.62510520001432,10.1906158357771,7.62635379061372,0.05148833467417538,0.05413170899896563,0.24433973106539478,0.23227215262613493,0.08022066429146076,0.08964486840593035,0.07183082404321342,0.07665785541891737,0.05217791058499023,0.04723594989081715,0.5000574646592346,0.49994253534076544
BALLINASLOE,0.10296484540449,0.489284201609487,0.158703939008895,0.136213468869123,0.112833545108005,0.0503008021390374,0.176888368983957,0.334475267379679,0.132352941176471,0.184074197860963,0.121908422459893,0.00448681996634885,0.0151079641054403,0.101444195176669,0.327713123948402,0.551247896803141,0.350812335733024,31.3646864291254,8.54455133207217,-3.87901328684263,8.86699507389163,8.3745466534784,0.05167301990681914,0.05129182549767048,0.24692926725963574,0.24235493434985175,0.07861075815332486,0.08009318085556967,0.06725963574756459,0.06895383312155866,0.06111817026683609,0.051715374841169,0.5055908513341805,0.4944091486658196
BALLYBAY-CLONES,0.12055598239854701,0.513515401271216,0.149542501920793,0.12726129775791,0.0891248166515331,0.0727220465651049,0.19272779534349,0.308565679793044,0.139551595286002,0.179793043978155,0.106639839034205,0.00282956058588548,0.0119285397248114,0.091988459831336,0.307922769640479,0.585330670217488,1.17571672181416,10.2237500517819,3.44423710928898,-3.74311804890271,7.411188240098,6.58145227087299,0.058531815324439476,0.062024167074107704,0.2525668785360061,0.2609485227352099,0.0718725990081721,0.07766990291262135,0.06146539079416079,0.06579590696374939,0.04637843123559405,0.042746385415939094,0.49081511489837254,0.5091848851016274
BALLYFERMOT-DRIMNAGH,0.0881157033300736,0.591100931597097,0.141978485768696,0.104920479695301,0.0738843996088322,0.0631807154286894,0.229236566355237,0.300624580601869,0.129458524750942,0.153254529499819,0.124245083363444,0.00593031875463306,0.025179942131567,0.125923623233458,0.347019297448528,0.495946818431813,0.889064730830852,32.0832230655512,12.598484879801,-7.84938101779147,12.2954477833978,9.40894705328886,0.0425909722579649,0.04552473107210871,0.29314426887642187,0.2979566627206753,0.0725719285603994,0.06940655720829687,0.05419733388234083,0.05072314581296001,0.04596222142158629,0.02792217818724587,0.5084667249987133,0.49153327500128674
BALLYJAMESDUFF,0.127963176064442,0.538780207134637,0.146881472957422,0.106283084004603,0.0800920598388953,0.0567416810925178,0.155895364493172,0.335833814195037,0.170802077322562,0.169936526255049,0.110790536641662,0.00289467824537964,0.0133971646997699,0.0915534773250204,0.315297261189045,0.576857418540785,0.932814830834067,19.9978414459621,4.68504738613651,-3.007354723744,7.78787069195832,8.45712356515868,0.06269275028768699,0.06527042577675489,0.27323360184119677,0.26554660529344076,0.07047180667433832,0.076409666283084,0.05095512082853855,0.05532796317606444,0.04165707710011508,0.03843498273878021,0.4990103567318757,0.5009896432681242
BALLYMAHON,0.113769044567849,0.56386159760786,0.138117613555461,0.108999003274954,0.0752527409938773,0.0595751742449386,0.150182542316628,0.321938267507468,0.150016594756057,0.182708264188516,0.135579156986392,0.00411078913673428,0.0164431565469371,0.104858817979648,0.331963070287755,0.542624166048925,0.64948276609047,11.1962095291067,5.38210314134842,-2.45521105295612,9.46647290844924,8.59613428280773,0.05382315249893208,0.059945892068916415,0.2844226114196212,0.27943898618823865,0.06784849779296596,0.07026911576249466,0.05332478997579382,0.055674213299159905,0.0398690018510608,0.03538373914281646,0.4992880535383739,0.5007119464616261
BALLYMOTE-TOBERCURRY,0.114106969777073,0.480350691690898,0.166490439686316,0.135650718124945,0.103401180720768,0.033215234720992,0.154118689105403,0.353587245349867,0.143312666076174,0.186802480070859,0.128963684676705,0.0031128689665275,0.0141727092946605,0.103859957518494,0.324104592397275,0.554749871823043,0.989953807369797,9.62661500185385,11.9916741186207,-2.33846680877633,8.77413937867338,7.25567620927937,0.055423385320292534,0.05868358445678033,0.2451757864128998,0.23517490527799806,0.08388404264692924,0.08260639703938673,0.06661379857256146,0.06903691955238347,0.054806590889065115,0.048594589831703235,0.5059036038417482,0.49409639615825185
BALLYMUN-FINGLAS,0.101909827419825,0.568392468412666,0.14086940909805,0.0961197513409188,0.0927085437285397,0.0685786664254049,0.218311770560029,0.341671944268524,0.137745408486384,0.133945535148828,0.0997466751108296,0.00671463832991674,0.0260636740158139,0.122411412793373,0.341630757645484,0.503179517215412,0.470077952480518,33.892377492285,10.4442850627394,-11.1057032273997,14.2924944064004,10.9528703567758,0.04959716331156444,0.05231266410826096,0.2950021320047577,0.2733903364079086,0.07363271168563029,0.06723669741241949,0.050517291680693015,0.04560245966022577,0.05639713638097803,0.03631140734756166,0.5251464350636235,0.4748535649363765
BALTINGLASS,0.11838768115942,0.526766304347826,0.158378623188406,0.11195652173913,0.0845108695652174,0.0505770854837196,0.146194989208971,0.321385005160927,0.14206624753683,0.199305620718776,0.140471051890776,0.00377570093457943,0.0140560747663551,0.0865046728971963,0.314504672897196,0.581158878504673,0.902627977050668,13.6219444085544,5.38257096877919,-1.41381847618324,7.78168062685761,8.03467244540757,0.057653985507246375,0.060733695652173916,0.2700634057971015,0.25670289855072465,0.07916666666666666,0.07921195652173912,0.05516304347826087,0.056793478260869563,0.042798913043478264,0.04171195652173913,0.5048460144927536,0.4951539855072464
BANDON-KINSALE,0.122738447960663,0.536815230410389,0.150381390657505,0.107262182437118,0.0828027485343252,0.0325892857142857,0.096875,0.274362244897959,0.143686224489796,0.252869897959184,0.199617346938776,0.00220863937541733,0.0110688787302892,0.0726539627099491,0.301941548102111,0.612126971082233,0.268557503394824,16.9775893901114,12.1654678519824,6.13545936400424,4.60986208199509,5.59735522115823,0.05922587152493223,0.06351257643573095,0.27381327617726786,0.2630019542331211,0.07322070226312803,0.07716068839437686,0.05263821471348421,0.054623967723633614,0.04636575679253609,0.03643699174178907,0.5052638214713484,0.4947361785286516
