"CSO_LEA","Census Year","p_age_12to17","p_age_18to54","p_age_55to64","p_age_65to70","p_age_71plus","Population"
"ADARE-RATHKEALE",2022,0.107471412604247,0.504771730719629,0.164302295589373,0.13133006620239,0.0921244948843608,23262
"ARDEE",2022,0.126323218066337,0.543824982357092,0.147447659374265,0.103505057633498,0.0788990825688073,21255
"ARKLOW",2022,0.120059488935959,0.532786515841183,0.156203524268782,0.113119113074046,0.0778313578800306,22189
"ARTANE-WHITEHALL",2022,0.0874915873473704,0.548336698394385,0.142366118642438,0.0957359869243342,0.126069608691472,41604
"ASHBOURNE",2022,0.124256883604506,0.591989987484355,0.126329787234043,0.0986780350438048,0.0587453066332916,25568
"ATHENRY-ORANMORE",2022,0.124542124542125,0.566630036630037,0.140879120879121,0.0964468864468864,0.0715018315018315,27300
"ATHLONE",2022,0.120127718537261,0.526296764865353,0.158985481053076,0.113621302488102,0.0809687330562082,16599
"ATHLONE_WESTMEATH",2022,0.0944645954896704,0.567576092099038,0.140514114492982,0.114072438626925,0.0833727592913841,19023
"ATHY",2022,0.126203160675113,0.55634149617227,0.145006043783856,0.103415857098088,0.069033442270672,22337
"BAILIEBOROUGH-COOTEHILL",2022,0.117493857493857,0.527272727272727,0.155921375921376,0.116658476658477,0.0826535626535626,20350
"BALBRIGGAN",2022,0.139458758710096,0.596532166585643,0.121860314373683,0.0896451142440447,0.0525036460865338,30855
"BALLINA",2022,0.105697369698146,0.491798505289721,0.160826943608658,0.136901873240804,0.104775308162671,20606
"BALLINAMORE",2022,0.105620043673141,0.47661188369153,0.169865532697391,0.148488679462131,0.0994138604758074,8701
"BALLINASLOE",2022,0.10296484540449,0.489284201609487,0.158703939008895,0.136213468869123,0.112833545108005,23610
"BALLYBAY-CLONES",2022,0.120555982398547,0.513515401271216,0.149542501920793,0.12726129775791,0.0891248166515331,14317
"BALLYFERMOT-DRIMNAGH",2022,0.0881157033300736,0.591100931597097,0.141978485768696,0.104920479695301,0.0738843996088322,38858
"BALLYJAMESDUFF",2022,0.127963176064442,0.538780207134637,0.146881472957422,0.106283084004603,0.0800920598388953,21725
"BALLYMAHON",2022,0.113769044567849,0.56386159760786,0.138117613555461,0.108999003274954,0.0752527409938773,14046
"BALLYMOTE-TOBERCURRY",2022,0.114106969777073,0.480350691690898,0.166490439686316,0.135650718124945,0.103401180720768,22698
"BALLYMUN-FINGLAS",2022,0.101909827419825,0.568392468412666,0.14086940909805,0.0961197513409188,0.0927085437285397,44559
"BALTINGLASS",2022,0.11838768115942,0.526766304347826,0.158378623188406,0.11195652173913,0.0845108695652174,22080
"BANDON-KINSALE",2022,0.122738447960663,0.536815230410389,0.150381390657505,0.107262182437118,0.0828027485343252,31726
"BANTRY-WEST CORK",2022,0.0939045312342315,0.441467352911495,0.191038449894036,0.156423453426178,0.11716621253406,19818
"BELMULLET",2022,0.088393616016621,0.423174992917178,0.173009727075267,0.178298234016432,0.137123429974502,10589
"BIRR",2022,0.10649701715138,0.506058911260254,0.157485085756898,0.131991051454139,0.0979679343773304,21456
"BLACKROCK",2022,0.0913057949040346,0.519655338190156,0.153877445360748,0.112273954365593,0.122887467179468,27041
"BLANCHARDSTOWN-MULHUDDART",2022,0.136427332176698,0.69631656212465,0.0856799679701054,0.049713065527826,0.0318630722007207,29972
"BORRIS-IN-OSSORY-MOUNTMELLICK",2022,0.118837220532136,0.527693273455985,0.152542372881356,0.115843353131489,0.0850837799990342,20709
"BOYLE",2022,0.101677629901586,0.474427617153638,0.167661006577941,0.148131150884708,0.108102595482127,19611
"BRAY EAST",2022,0.0852366538249862,0.526141992294992,0.146326362135388,0.129334067143643,0.112960924600991,14536
"BRAY WEST",2022,0.112948022748314,0.536106335140854,0.16856235947626,0.10864964951726,0.0737336331173125,15122
"BUNCRANA",2022,0.131118979373911,0.519923565447086,0.150621030742427,0.111335918619682,0.0870005058168943,17793
"CABRA-GLASNEVIN",2022,0.0593179215435082,0.641180923542771,0.129641491488577,0.0896756536423455,0.0801840097827986,51519
