CSO_LEA,Census Year,No_formal_education,Primary_edu,Upper_secondary_edu,Advanced_cert_or_apprenticeship,Honours_bachelor,Postgraduate,population,p_edu_NoFormal,p_edu_Primary,p_edu_UpperSecondary,p_edu_Apprenticeship,p_edu_HonoursBachelor,p_edu_Postgraduate
ADARE-RATHKEALE,2022,461,1522,3702,1405,2444,1765,11299,0.04080007080272591,0.1347021860341623,0.3276396141251438,0.12434728737056376,0.21630232763961413,0.15620851402779007
ARDEE,2022,651,1607,3171,1393,2075,1408,10305,0.06317321688500728,0.1559437166424066,0.3077147016011645,0.13517709849587578,0.20135856380397865,0.1366327025715672
ARKLOW,2022,576,1536,3560,1602,1943,1343,10560,0.05454545454545454,0.14545454545454545,0.3371212121212121,0.15170454545454545,0.18399621212121212,0.1271780303030303
ARTANE-WHITEHALL,2022,1013,4145,6630,2607,3784,2894,21073,0.04807099131590187,0.19669719546338918,0.3146206045650833,0.123712807858397,0.17956626963412897,0.1373321311630997
ASHBOURNE,2022,396,1185,4056,1663,2924,2119,12343,0.032082962002754595,0.09600583326581869,0.3286073077857895,0.1347322368954063,0.2368954063031678,0.1716762537470631
ATHENRY-ORANMORE,2022,403,1430,3996,1632,3559,3022,14042,0.028699615439396097,0.10183734510753453,0.2845748468879077,0.1162227602905569,0.25345392394245836,0.21521150833214642
ATHLONE,2022,288,942,2894,946,1910,1397,8377,0.034379849588158054,0.11245075802793363,0.34546973856989377,0.11292825593888027,0.22800525247702041,0.16676614539811388
ATHLONE_WESTMEATH,2022,366,1221,2991,1015,2101,1830,9524,0.03842923141537169,0.12820243595128097,0.3140487190256195,0.10657286854262915,0.22060058798824023,0.19214615707685848
ATHY,2022,553,1493,3854,1594,1929,1258,10681,0.051774178447710886,0.13978091938957027,0.3608276378616234,0.14923696283119559,0.1806010673157944,0.11777923415410542
BAILIEBOROUGH-COOTEHILL,2022,681,1639,3262,1531,1626,1008,9747,0.06986765158510311,0.1681543038883759,0.3346670770493485,0.1570739714784036,0.16682056017236072,0.10341643582640812
BALBRIGGAN,2022,517,1299,4873,2013,3177,2652,14531,0.03557910673732021,0.08939508636707728,0.33535200605601817,0.13853141559424678,0.21863601954442227,0.18250636570091527
BALLINA,2022,687,1810,4180,1287,1822,1198,10984,0.0625455207574654,0.1647851420247633,0.3805535324107793,0.11717042971595047,0.165877640203933,0.10906773488710853
BALLINAMORE,2022,289,657,1395,703,797,500,4341,0.06657452199953928,0.15134761575673808,0.3213545266067726,0.16194425247638794,0.1835982492513246,0.1151808339092375
BALLINASLOE,2022,602,2117,4003,1584,2203,1459,11968,0.05030080213903743,0.1768883689839572,0.33447526737967914,0.1323529411764706,0.18407419786096257,0.12190842245989304
BALLYBAY-CLONES,2022,506,1341,2147,971,1251,742,6958,0.07272204656510492,0.19272779534348952,0.308565679793044,0.13955159528600172,0.17979304397815465,0.10663983903420524
BALLYFERMOT-DRIMNAGH,2022,1224,4441,5824,2508,2969,2407,19373,0.06318071542868942,0.22923656635523668,0.3006245806018686,0.12945852475094202,0.15325452949981933,0.12424508336344396
BALLYJAMESDUFF,2022,590,1621,3492,1776,1767,1152,10398,0.056741681092517794,0.15589536449317176,0.3358338141950375,0.17080207732256203,0.16993652625504904,0.11079053664166186
BALLYMAHON,2022,359,905,1940,904,1101,817,6026,0.0595751742449386,0.15018254231662795,0.3219382675074676,0.15001659475605708,0.18270826418851643,0.1355791569863923
BALLYMOTE-TOBERCURRY,2022,375,1740,3992,1618,2109,1456,11290,0.033215234720992026,0.15411868910540302,0.35358724534986713,0.1433126660761736,0.18680248007085917,0.12896368467670505
BALLYMUN-FINGLAS,2022,1516,4826,7553,3045,2961,2205,22106,0.06857866642540486,0.21831177056002896,0.3416719442685244,0.13774540848638378,0.13394553514882837,0.09974667511082964
BALTINGLASS,2022,539,1558,3425,1514,2124,1497,10657,0.05057708548371962,0.14619498920897062,0.3213850051609271,0.14206624753683025,0.1993056207187764,0.14047105189077602
BANDON-KINSALE,2022,511,1519,4302,2253,3965,3130,15680,0.032589285714285716,0.096875,0.2743622448979592,0.14368622448979593,0.2528698979591837,0.1996173469387755
BANTRY-WEST CORK,2022,461,1522,3077,1442,1883,1444,9829,0.04690202462101943,0.15484789907416827,0.3130532098891037,0.14670871909655103,0.19157594872316613,0.14691219859599144
BELMULLET,2022,479,1539,1799,659,796,497,5769,0.08302998786618132,0.2667706708268331,0.31183914023227594,0.1142312359161033,0.13797885248743283,0.08615011267117352
BIRR,2022,676,1768,3737,1463,1786,1204,10634,0.06356968215158924,0.16625916870415647,0.3514199736693624,0.13757758134286252,0.16795185254842956,0.11322174158359978
BLACKROCK,2022,150,463,2742,835,5314,6373,15877,0.009447628645210052,0.029161680418215027,0.17270265163443976,0.05259179945833596,0.3346979908043081,0.40139824903949106
BLANCHARDSTOWN-MULHUDDART,2022,497,1133,3905,2026,2768,2202,12531,0.03966163913494534,0.090415768893145,0.31162716463171336,0.16167903599074296,0.22089218737530925,0.17572420397414412
BORRIS-IN-OSSORY-MOUNTMELLICK,2022,518,1758,3866,1444,1734,1080,10400,0.04980769230769231,0.16903846153846153,0.37173076923076925,0.13884615384615384,0.16673076923076924,0.10384615384615385
BOYLE,2022,574,1434,3339,1419,1735,1260,9761,0.05880545026124372,0.14691117713349042,0.34207560700747874,0.14537444933920704,0.17774818153877678,0.1290851347198033
BRAY EAST,2022,337,954,2049,987,1679,1583,7589,0.04440637765186454,0.12570826195809726,0.26999604691000134,0.13005666095664778,0.22124127025958623,0.20859138226380286
BRAY WEST,2022,256,775,2265,984,1857,1643,7780,0.032904884318766064,0.09961439588688946,0.2911311053984576,0.12647814910025706,0.23868894601542417,0.21118251928020565
BUNCRANA,2022,659,1887,2480,1144,1642,1172,8984,0.0733526268922529,0.210040071237756,0.27604630454140694,0.12733748886910062,0.1827693677649154,0.13045414069456812
CABRA-GLASNEVIN,2022,912,3368,6133,2337,7394,7591,27735,0.03288263926446728,0.12143500991526951,0.2211285379484406,0.08426176311519741,0.2665945556156481,0.2736974941409771
CAHIR,2022,263,821,2124,902,1063,680,5853,0.04493422176661541,0.1402699470357082,0.362890825217837,0.15410900392960875,0.18161626516316418,0.11617973688706647
CALLAN-THOMASTOWN,2022,425,1274,3328,1407,2401,1666,10501,0.040472335968003044,0.12132177887820207,0.31692219788591564,0.13398723931054185,0.22864489096276544,0.15865155699457195
CAPPAMORE-KILMALLOCK,2022,573,2098,4968,1967,2718,1871,14195,0.04036632617118704,0.14779852060584714,0.3499823881648468,0.1385699189855583,0.19147587178584008,0.13180697428672067
CARLOW,2022,318,1201,2846,1507,1905,1388,9165,0.03469721767594108,0.1310420076377523,0.3105291871249318,0.16442989634478997,0.2078559738134206,0.1514457174031642
CARNDONAGH,2022,597,1786,1969,905,1198,824,7279,0.08201676054403077,0.2453633740898475,0.2705041901360077,0.1243302651463113,0.1645830471218574,0.11320236296194532
