CSO_LEA,Census Year,Sex,No_formal_education,Primary_edu,Upper_secondary_edu,Advanced_cert_or_apprenticeship,Honours_bachelor,Postgraduate,population
ADARE-RATHKEALE,2022,Females,232,648,1959,729,1368,1083,6019
ADARE-RATHKEALE,2022,Males,229,874,1743,676,1076,682,5280
ARDEE,2022,Females,272,734,1622,804,1212,845,5489
ARDEE,2022,Males,379,873,1549,589,863,563,4816
ARKLOW,2022,Females,259,701,1814,923,1117,798,5612
ARKLOW,2022,Males,317,835,1746,679,826,545,4948
ARTANE-WHITEHALL,2022,Females,543,2346,3541,1447,2132,1599,11608
ARTANE-WHITEHALL,2022,Males,470,1799,3089,1160,1652,1295,9465
ASHBOURNE,2022,Females,167,541,2098,932,1668,1208,6614
ASHBOURNE,2022,Males,229,644,1958,731,1256,911,5729
ATHENRY-ORANMORE,2022,Females,150,559,2064,896,1993,1791,7453
ATHENRY-ORANMORE,2022,Males,253,871,1932,736,1566,1231,6589
ATHLONE,2022,Females,118,362,1449,502,1126,870,4427
ATHLONE,2022,Males,170,580,1445,444,784,527,3950
ATHLONE_WESTMEATH,2022,Females,168,608,1497,534,1125,994,4926
ATHLONE_WESTMEATH,2022,Males,198,613,1494,481,976,836,4598
ATHY,2022,Females,228,661,1946,946,1153,773,5707
ATHY,2022,Males,325,832,1908,648,776,485,4974
BAILIEBOROUGH-COOTEHILL,2022,Females,272,678,1691,897,1011,649,5198
BAILIEBOROUGH-COOTEHILL,2022,Males,409,961,1571,634,615,359,4549
BALBRIGGAN,2022,Females,236,666,2583,1162,1740,1501,7888
BALBRIGGAN,2022,Males,281,633,2290,851,1437,1151,6643
BALLINA,2022,Females,279,810,2193,736,1116,765,5899
BALLINA,2022,Males,408,1000,1987,551,706,433,5085
BALLINAMORE,2022,Females,124,285,713,360,483,331,2296
BALLINAMORE,2022,Males,165,372,682,343,314,169,2045
BALLINASLOE,2022,Females,234,829,2142,876,1302,987,6370
BALLINASLOE,2022,Males,368,1288,1861,708,901,472,5598
BALLYBAY-CLONES,2022,Females,188,522,1040,567,779,496,3592
