CSO_LEA,p_age_12to17,p_age_18to54,p_age_55to64,p_age_65to70,p_age_71plus,p_edu_NoFormal,p_edu_Primary,p_edu_UpperSecondary,p_edu_Apprenticeship,p_edu_HonoursBachelor,p_edu_Postgraduate,p_health_VeryBad,p_health_Bad,p_health_Fair,p_health_Good,p_health_VeryGood
ADARE-RATHKEALE,0.107471412604247,0.504771730719629,0.164302295589373,0.13133006620239,0.0921244948843608,0.04080007080272591,0.1347021860341623,0.3276396141251438,0.12434728737056376,0.21630232763961413,0.15620851402779007,0.00375953571558929,0.01536664598313684,0.09271088075336716,0.32394057743548565,0.5642223601124211
ARDEE,0.126323218066337,0.543824982357092,0.147447659374265,0.103505057633498,0.0788990825688073,0.06317321688500728,0.1559437166424066,0.3077147016011645,0.13517709849587578,0.20135856380397865,0.1366327025715672,0.00321418890136699,0.01339890795027688,0.09522518684893312,0.3077101808465322,0.5804515354528909
ARKLOW,0.120059488935959,0.532786515841183,0.156203524268782,0.113119113074046,0.0778313578800306,0.05454545454545454,0.14545454545454545,0.3371212121212121,0.15170454545454545,0.18399621212121212,0.1271780303030303,0.00384716931316712,0.01652019763889413,0.09655640629125337,0.31939048768528644,0.563685739071399
ARTANE-WHITEHALL,0.0874915873473704,0.548336698394385,0.142366118642438,0.0957359869243342,0.126069608691472,0.04807099131590187,0.1966971954633892,0.3146206045650833,0.123712807858397,0.17956626963412897,0.1373321311630997,0.00519568293661689,0.02215557479882569,0.11884596700952542,0.3305383656831478,0.5232644095718841
ASHBOURNE,0.124256883604506,0.591989987484355,0.126329787234043,0.0986780350438048,0.0587453066332916,0.03208296200275459,0.09600583326581869,0.3286073077857895,0.1347322368954063,0.2368954063031678,0.1716762537470631,0.00243346956603126,0.0109818113749103,0.07369045019186972,0.3100489813745983,0.6028452874925904
ATHENRY-ORANMORE,0.124542124542125,0.566630036630037,0.140879120879121,0.0964468864468864,0.0715018315018315,0.02869961543939609,0.10183734510753452,0.2845748468879077,0.1162227602905569,0.25345392394245836,0.2152115083321464,0.00234233700002965,0.01008094405076051,0.07640762593767604,0.3056601535861476,0.6055089394253862
ATHLONE,0.120127718537261,0.526296764865353,0.158985481053076,0.113621302488102,0.0809687330562082,0.03437984958815805,0.11245075802793364,0.34546973856989377,0.11292825593888028,0.2280052524770204,0.16676614539811388,0.00325107137579429,0.01231466430225112,0.08206492291020147,0.3060440372395449,0.5963253041722083
ATHLONE_WESTMEATH,0.0944645954896704,0.567576092099038,0.140514114492982,0.114072438626925,0.0833727592913841,0.03842923141537169,0.12820243595128095,0.3140487190256195,0.10657286854262916,0.22060058798824023,0.19214615707685848,0.003614512266751,0.01662675642705462,0.09926354312564949,0.3348393801111463,0.5456558080693986
ATHY,0.126203160675113,0.55634149617227,0.145006043783856,0.103415857098088,0.069033442270672,0.05177417844771088,0.13978091938957027,0.3608276378616234,0.1492369628311956,0.1806010673157944,0.11777923415410542,0.00426063321824726,0.01759347682362447,0.09916991111437597,0.31499302137662527,0.563982957467127
BAILIEBOROUGH-COOTEHILL,0.117493857493857,0.527272727272727,0.155921375921376,0.116658476658477,0.0826535626535626,0.06986765158510311,0.1681543038883759,0.3346670770493485,0.1570739714784036,0.16682056017236072,0.10341643582640812,0.00278631427986068,0.01446424912927678,0.08494161032575293,0.30223314894488834,0.5955746773202213
BALBRIGGAN,0.139458758710096,0.596532166585643,0.121860314373683,0.0896451142440447,0.0525036460865338,0.03557910673732021,0.08939508636707728,0.33535200605601817,0.13853141559424678,0.21863601954442227,0.18250636570091527,0.00389975041597337,0.01614496672212978,0.08829034941763728,0.31886959234608986,0.5727953410981698
BALLINA,0.105697369698146,0.491798505289721,0.160826943608658,0.136901873240804,0.104775308162671,0.0625455207574654,0.1647851420247633,0.3805535324107793,0.11717042971595049,0.165877640203933,0.10906773488710853,0.00365877908132829,0.01729966196062835,0.10988268045337043,0.3321137403062239,0.537045138198449
BALLINAMORE,0.105620043673141,0.47661188369153,0.169865532697391,0.148488679462131,0.0994138604758074,0.06657452199953928,0.15134761575673808,0.3213545266067726,0.16194425247638794,0.1835982492513246,0.1151808339092375,0.00200573065902578,0.0169054441260745,0.10487106017191976,0.32368672397325693,0.5525310410697231
BALLINASLOE,0.10296484540449,0.489284201609487,0.158703939008895,0.136213468869123,0.112833545108005,0.05030080213903743,0.1768883689839572,0.33447526737967914,0.1323529411764706,0.18407419786096255,0.12190842245989304,0.00448681996634885,0.01510796410544026,0.10144419517666854,0.3277131239484016,0.5512478968031408
BALLYBAY-CLONES,0.12055598239854701,0.513515401271216,0.149542501920793,0.12726129775791,0.0891248166515331,0.07272204656510492,0.19272779534348952,0.308565679793044,0.13955159528600172,0.17979304397815463,0.10663983903420524,0.00282956058588548,0.01192853972481136,0.091988459831336,0.3079227696404794,0.5853306702174877
BALLYFERMOT-DRIMNAGH,0.0881157033300736,0.591100931597097,0.141978485768696,0.104920479695301,0.0738843996088322,0.06318071542868942,0.22923656635523668,0.3006245806018686,0.12945852475094202,0.15325452949981933,0.12424508336344396,0.00593031875463306,0.02517994213156699,0.1259236232334585,0.34701929744852816,0.49594681843181326
BALLYJAMESDUFF,0.127963176064442,0.538780207134637,0.146881472957422,0.106283084004603,0.0800920598388953,0.05674168109251779,0.15589536449317176,0.3358338141950375,0.17080207732256203,0.16993652625504904,0.11079053664166186,0.00289467824537964,0.01339716469976991,0.0915534773250204,0.3152972611890448,0.5768574185407853
BALLYMAHON,0.113769044567849,0.56386159760786,0.138117613555461,0.108999003274954,0.0752527409938773,0.0595751742449386,0.15018254231662795,0.3219382675074676,0.15001659475605708,0.18270826418851643,0.1355791569863923,0.00411078913673428,0.01644315654693712,0.10485881797964824,0.33196307028775524,0.5426241660489252
BALLYMOTE-TOBERCURRY,0.114106969777073,0.480350691690898,0.166490439686316,0.135650718124945,0.103401180720768,0.03321523472099202,0.15411868910540302,0.35358724534986713,0.1433126660761736,0.18680248007085917,0.12896368467670505,0.0031128689665275,0.01417270929466051,0.1038599575184941,0.32410459239727535,0.5547498718230426
BALLYMUN-FINGLAS,0.101909827419825,0.568392468412666,0.14086940909805,0.0961197513409188,0.0927085437285397,0.06857866642540486,0.21831177056002896,0.3416719442685244,0.13774540848638378,0.13394553514882837,0.09974667511082964,0.00671463832991674,0.02606367401581391,0.1224114127933732,0.34163075764548384,0.5031795172154123
BALTINGLASS,0.11838768115942,0.526766304347826,0.158378623188406,0.11195652173913,0.0845108695652174,0.05057708548371962,0.14619498920897062,0.3213850051609271,0.14206624753683025,0.1993056207187764,0.14047105189077602,0.00377570093457943,0.01405607476635514,0.08650467289719627,0.31450467289719625,0.5811588785046728
BANDON-KINSALE,0.122738447960663,0.536815230410389,0.150381390657505,0.107262182437118,0.0828027485343252,0.03258928571428571,0.096875,0.2743622448979592,0.14368622448979593,0.2528698979591837,0.1996173469387755,0.00220863937541733,0.01106887873028917,0.07265396270994914,0.30194154810211105,0.6121269710822332
BANTRY-WEST CORK,0.0939045312342315,0.441467352911495,0.191038449894036,0.156423453426178,0.11716621253406,0.04690202462101943,0.1548478990741683,0.3130532098891037,0.14670871909655103,0.1915759487231661,0.14691219859599144,0.00410857117881026,0.01429258271777612,0.10406923379518336,0.3385637484155776,0.5389658638926527
BELMULLET,0.088393616016621,0.42317499291717797,0.173009727075267,0.178298234016432,0.137123429974502,0.08302998786618132,0.2667706708268331,0.31183914023227594,0.1142312359161033,0.13797885248743283,0.08615011267117352,0.00562163923741241,0.02207919178751833,0.14803649991852696,0.3459344956819293,0.47832817337461303
