CSO_LEA,Census Year,very_bad,bad,fair,good,very_good,population,p_health_very_bad,p_health_bad,p_health_fair,p_health_good,p_health_very_good
ADARE-RATHKEALE,2022,103,421,2540,8875,15458,27397,0.003759535715589298,0.01536664598313684,0.09271088075336716,0.32394057743548565,0.5642223601124211
ARDEE,2022,83,346,2459,7946,14989,25823,0.0032141889013669986,0.013398907950276885,0.09522518684893312,0.3077101808465322,0.5804515354528909
ARKLOW,2022,102,438,2560,8468,14945,26513,0.0038471693131671256,0.01652019763889413,0.09655640629125335,0.31939048768528644,0.563685739071399
ARTANE-WHITEHALL,2022,246,1049,5627,15650,24775,47347,0.005195682936616893,0.02215557479882569,0.11884596700952542,0.3305383656831478,0.5232644095718841
ASHBOURNE,2022,78,352,2362,9938,19323,32053,0.0024334695660312607,0.010981811374910305,0.07369045019186972,0.3100489813745983,0.6028452874925904
ATHENRY-ORANMORE,2022,79,340,2577,10309,20422,33727,0.00234233700002965,0.010080944050760519,0.07640762593767604,0.3056601535861476,0.6055089394253862
ATHLONE,2022,66,250,1666,6213,12106,20301,0.0032510713757942958,0.012314664302251121,0.08206492291020147,0.3060440372395449,0.5963253041722083
ATHLONE_WESTMEATH,2022,80,368,2197,7411,12077,22133,0.0036145122667510052,0.016626756427054624,0.09926354312564949,0.3348393801111463,0.5456558080693986
ATHY,2022,116,479,2700,8576,15355,27226,0.004260633218247264,0.017593476823624478,0.09916991111437597,0.31499302137662527,0.563982957467127
BAILIEBOROUGH-COOTEHILL,2022,68,353,2073,7376,14535,24405,0.0027863142798606843,0.014464249129276787,0.08494161032575293,0.30223314894488834,0.5955746773202213
BALBRIGGAN,2022,150,621,3396,12265,22032,38464,0.0038997504159733777,0.016144966722129783,0.08829034941763728,0.31886959234608986,0.5727953410981698
BALLINA,2022,92,435,2763,8351,13504,25145,0.0036587790813282957,0.017299661960628356,0.10988268045337045,0.3321137403062239,0.537045138198449
BALLINAMORE,2022,21,177,1098,3389,5785,10470,0.0020057306590257878,0.0169054441260745,0.10487106017191977,0.32368672397325693,0.5525310410697231
BALLINASLOE,2022,128,431,2894,9349,15726,28528,0.00448681996634885,0.015107964105440269,0.10144419517666854,0.3277131239484016,0.5512478968031408
BALLYBAY-CLONES,2022,51,215,1658,5550,10550,18024,0.002829560585885486,0.011928539724811362,0.091988459831336,0.3079227696404794,0.5853306702174877
BALLYFERMOT-DRIMNAGH,2022,248,1053,5266,14512,20740,41819,0.005930318754633061,0.02517994213156699,0.1259236232334585,0.34701929744852816,0.49594681843181326
BALLYJAMESDUFF,2022,78,361,2467,8496,15544,26946,0.0028946782453796484,0.01339716469976991,0.09155347732502041,0.3152972611890448,0.5768574185407853
BALLYMAHON,2022,61,244,1556,4926,8052,14839,0.004110789136734281,0.016443156546937125,0.10485881797964823,0.33196307028775524,0.5426241660489252
BALLYMOTE-TOBERCURRY,2022,85,387,2836,8850,15148,27306,0.003112868966527503,0.014172709294660513,0.1038599575184941,0.32410459239727535,0.5547498718230426
BALLYMUN-FINGLAS,2022,321,1246,5852,16332,24055,47806,0.006714638329916747,0.026063674015813915,0.12241141279337321,0.34163075764548384,0.5031795172154123
BALTINGLASS,2022,101,376,2314,8413,15546,26750,0.0037757009345794393,0.01405607476635514,0.08650467289719627,0.31450467289719625,0.5811588785046728
BANDON-KINSALE,2022,86,431,2829,11757,23835,38938,0.00220863937541733,0.011068878730289177,0.07265396270994914,0.30194154810211105,0.6121269710822332
BANTRY-WEST CORK,2022,94,327,2381,7746,12331,22879,0.004108571178810263,0.014292582717776127,0.10406923379518336,0.3385637484155776,0.5389658638926527
BELMULLET,2022,69,271,1817,4246,5871,12274,0.0056216392374124164,0.02207919178751833,0.14803649991852696,0.3459344956819293,0.47832817337461303
BIRR,2022,108,452,2602,8755,13917,25834,0.004180537276457382,0.01749632267554386,0.10071998141983432,0.33889448014244794,0.5387086784857165
BLACKROCK,2022,68,324,2256,8868,21242,32758,0.0020758288051773615,0.00989071371878625,0.06886867330117834,0.27071249771048295,0.6484522864643751
BLANCHARDSTOWN-MULHUDDART,2022,120,488,2796,11536,20010,34950,0.0034334763948497852,0.013962804005722461,0.08,0.33007153075822604,0.5725321888412017
BORRIS-IN-OSSORY-MOUNTMELLICK,2022,86,417,2518,8142,14276,25439,0.003380636031290538,0.016392153779629704,0.09898187821848344,0.320059750776367,0.5611855811942293
BOYLE,2022,103,428,2664,7901,12268,23364,0.00440849169662729,0.018318781030645437,0.1140215716486903,0.3381698339325458,0.5250813216914911
BRAY EAST,2022,78,286,1795,5686,8780,16625,0.00469172932330827,0.01720300751879699,0.10796992481203008,0.34201503759398494,0.5281203007518797
BRAY WEST,2022,64,234,1551,5422,10778,18049,0.0035459028201008367,0.012964707185993685,0.08593273865588122,0.30040445454041775,0.5971521967976066
BUNCRANA,2022,84,333,2306,6762,12108,21593,0.003890149585513824,0.015421664428286946,0.10679386838327236,0.3131570416338628,0.5607372759690641
CABRA-GLASNEVIN,2022,228,989,5281,17696,30799,54993,0.004145982215918389,0.017984107068172314,0.0960304038695834,0.3217864091793501,0.5600530976669758
CAHIR,2022,50,197,1369,4972,7904,14492,0.003450179409329285,0.013593706872757383,0.09446591222743583,0.3430858404637041,0.5454043610267734
CALLAN-THOMASTOWN,2022,88,320,2182,7900,15227,25717,0.003421861025780612,0.01244313100283859,0.08484659952560564,0.30718979663257767,0.5920986118131975
CAPPAMORE-KILMALLOCK,2022,128,508,3439,11417,19402,34894,0.003668252421619763,0.014558376798303433,0.09855562560898722,0.3271909210752565,0.5560268240958331
CARLOW,2022,114,486,2588,7924,12000,23112,0.004932502596053998,0.02102803738317757,0.11197646244375216,0.3428521979923849,0.5192107995846313
CARNDONAGH,2022,65,289,1842,5646,9300,17142,0.0037918562594796406,0.01685917629214794,0.10745537276863844,0.32936646832341615,0.5425271263563178
CARRICK-ON-SHANNON,2022,30,218,1313,3844,6519,11924,0.0025159342502515934,0.018282455551828246,0.1101140556860114,0.3223750419322375,0.5467125125796712
CARRICK-ON-SUIR,2022,116,391,2097,6116,10576,19296,0.0060116086235489224,0.020263266998341627,0.10867537313432836,0.3169568822553897,0.5480928689883914
