CSO_LEA,Census Year,Sex,very_bad,bad,fair,good,very_good,population
ADARE-RATHKEALE,2022,Females,59,218,1305,4452,7672,13706
ADARE-RATHKEALE,2022,Males,44,203,1235,4423,7786,13691
ARDEE,2022,Females,42,187,1259,3998,7475,12961
ARDEE,2022,Males,41,159,1200,3948,7514,12862
ARKLOW,2022,Females,56,210,1276,4268,7588,13398
ARKLOW,2022,Males,46,228,1284,4200,7357,13115
ARTANE-WHITEHALL,2022,Females,135,578,3157,8362,12640,24872
ARTANE-WHITEHALL,2022,Males,111,471,2470,7288,12135,22475
ASHBOURNE,2022,Females,46,185,1220,4944,9659,16054
ASHBOURNE,2022,Males,32,167,1142,4994,9664,15999
ATHENRY-ORANMORE,2022,Females,45,181,1289,5130,10171,16816
ATHENRY-ORANMORE,2022,Males,34,159,1288,5179,10251,16911
ATHLONE,2022,Females,37,145,860,3150,6062,10254
ATHLONE,2022,Males,29,105,806,3063,6044,10047
ATHLONE_WESTMEATH,2022,Females,46,182,1140,3737,5969,11074
ATHLONE_WESTMEATH,2022,Males,34,186,1057,3674,6108,11059
ATHY,2022,Females,63,257,1349,4334,7576,13579
ATHY,2022,Males,53,222,1351,4242,7779,13647
BAILIEBOROUGH-COOTEHILL,2022,Females,22,183,1030,3729,7141,12105
BAILIEBOROUGH-COOTEHILL,2022,Males,46,170,1043,3647,7394,12300
BALBRIGGAN,2022,Females,90,347,1806,6427,11084,19754
BALBRIGGAN,2022,Males,60,274,1590,5838,10948,18710
BALLINA,2022,Females,51,224,1370,4243,6792,12680
BALLINA,2022,Males,41,211,1393,4108,6712,12465
BALLINAMORE,2022,Females,13,98,541,1684,2890,5226
BALLINAMORE,2022,Males,8,79,557,1705,2895,5244
BALLINASLOE,2022,Females,58,220,1438,4679,7846,14241
BALLINASLOE,2022,Males,70,211,1456,4670,7880,14287
BALLYBAY-CLONES,2022,Females,22,105,806,2712,5171,8816
BALLYBAY-CLONES,2022,Males,29,110,852,2838,5379,9208
BALLYFERMOT-DRIMNAGH,2022,Females,131,559,2807,7458,10344,21299
BALLYFERMOT-DRIMNAGH,2022,Males,117,494,2459,7054,10396,20520
BALLYJAMESDUFF,2022,Females,44,188,1236,4232,7663,13363
BALLYJAMESDUFF,2022,Males,34,173,1231,4264,7881,13583
BALLYMAHON,2022,Females,34,136,757,2449,3981,7357
BALLYMAHON,2022,Males,27,108,799,2477,4071,7482
BALLYMOTE-TOBERCURRY,2022,Females,41,185,1408,4444,7564,13642
BALLYMOTE-TOBERCURRY,2022,Males,44,202,1428,4406,7584,13664
BALLYMUN-FINGLAS,2022,Females,176,672,3248,8710,12137,24943
BALLYMUN-FINGLAS,2022,Males,145,574,2604,7622,11918,22863
BALTINGLASS,2022,Females,54,190,1176,4209,7731,13360
BALTINGLASS,2022,Males,47,186,1138,4204,7815,13390
BANDON-KINSALE,2022,Females,46,234,1475,5872,12007,19634
BANDON-KINSALE,2022,Males,40,197,1354,5885,11828,19304
BANTRY-WEST CORK,2022,Females,44,162,1163,3872,6205,11446
BANTRY-WEST CORK,2022,Males,50,165,1218,3874,6126,11433
BELMULLET,2022,Females,42,145,924,2075,2953,6139
BELMULLET,2022,Males,27,126,893,2171,2918,6135
BIRR,2022,Females,56,230,1300,4380,6842,12808
BIRR,2022,Males,52,222,1302,4375,7075,13026
BLACKROCK,2022,Females,39,192,1246,4691,11020,17188
BLACKROCK,2022,Males,29,132,1010,4177,10222,15570
BLANCHARDSTOWN-MULHUDDART,2022,Females,70,296,1514,5915,9971,17766
BLANCHARDSTOWN-MULHUDDART,2022,Males,50,192,1282,5621,10039,17184
BORRIS-IN-OSSORY-MOUNTMELLICK,2022,Females,45,230,1299,4110,7065,12749
BORRIS-IN-OSSORY-MOUNTMELLICK,2022,Males,41,187,1219,4032,7211,12690
BOYLE,2022,Females,60,209,1309,3935,6134,11647
BOYLE,2022,Males,43,219,1355,3966,6134,11717
BRAY EAST,2022,Females,43,145,961,2956,4452,8557
BRAY EAST,2022,Males,35,141,834,2730,4328,8068
BRAY WEST,2022,Females,32,118,854,2897,5547,9448
BRAY WEST,2022,Males,32,116,697,2525,5231,8601
BUNCRANA,2022,Females,41,166,1147,3369,6167,10890
BUNCRANA,2022,Males,43,167,1159,3393,5941,10703
CABRA-GLASNEVIN,2022,Females,131,505,2796,9098,15425,27955
CABRA-GLASNEVIN,2022,Males,97,484,2485,8598,15374,27038
CAHIR,2022,Females,23,95,673,2461,3898,7150
CAHIR,2022,Males,27,102,696,2511,4006,7342
CALLAN-THOMASTOWN,2022,Females,48,160,1078,3917,7611,12814
CALLAN-THOMASTOWN,2022,Males,40,160,1104,3983,7616,12903
CAPPAMORE-KILMALLOCK,2022,Females,65,246,1710,5602,9602,17225
CAPPAMORE-KILMALLOCK,2022,Males,63,262,1729,5815,9800,17669
CARLOW,2022,Females,59,259,1362,4044,5963,11687
CARLOW,2022,Males,55,227,1226,3880,6037,11425
CARNDONAGH,2022,Females,29,139,930,2878,4685,8661
CARNDONAGH,2022,Males,36,150,912,2768,4615,8481
CARRICK-ON-SHANNON,2022,Females,14,109,652,1958,3298,6031
CARRICK-ON-SHANNON,2022,Males,16,109,661,1886,3221,5893
CARRICK-ON-SUIR,2022,Females,62,194,1040,3127,5270,9693
CARRICK-ON-SUIR,2022,Males,54,197,1057,2989,5306,9603
CARRICKMACROSS-CASTLEBLAYNEY,2022,Females,32,171,1041,3489,6296,11029
CARRICKMACROSS-CASTLEBLAYNEY,2022,Males,41,151,1038,3489,6519,11238
CARRIGALINE,2022,Females,48,206,1304,5690,12155,19403
CARRIGALINE,2022,Males,40,170,1191,5345,11952,18698
CASHEL-TIPPERARY,2022,Females,56,235,1463,4577,7606,13937
CASHEL-TIPPERARY,2022,Males,41,243,1410,4572,7515,13781
CASTLEBAR,2022,Females,44,268,1480,5094,8493,15379
CASTLEBAR,2022,Males,38,219,1390,4840,8393,14880
CASTLECOMER,2022,Females,37,151,1083,3706,6831,11808
CASTLECOMER,2022,Males,47,170,1006,3775,7097,12095
CASTLEISLAND,2022,Females,30,114,798,2891,4912,8745
CASTLEISLAND,2022,Males,26,87,767,2833,5010,8723
