"Statistic Label","Census Year","CSO Local Electoral Areas 2022","Sex","Highest Level of Education Completed","UNIT","VALUE"
"Population aged 15 years and over by sex and highest level of education completed","2022","Borris-In-Ossory-Mountmellick, Laois","Males","No formal education","Number","302"
"Population aged 15 years and over by sex and highest level of education completed","2022","Borris-In-Ossory-Mountmellick, Laois","Males","Primary education","Number","1023"
"Population aged 15 years and over by sex and highest level of education completed","2022","Borris-In-Ossory-Mountmellick, Laois","Males","Lower secondary","Number","1813"
"Population aged 15 years and over by sex and highest level of education completed","2022","Borris-In-Ossory-Mountmellick, Laois","Males","Upper secondary","Number","1904"
"Population aged 15 years and over by sex and highest level of education completed","2022","Borris-In-Ossory-Mountmellick, Laois","Males","Technical or vocational qualification","Number","573"
"Population aged 15 years and over by sex and highest level of education completed","2022","Borris-In-Ossory-Mountmellick, Laois","Males","Advanced certificate/Completed apprenticeship","Number","869"
"Population aged 15 years and over by sex and highest level of education completed","2022","Borris-In-Ossory-Mountmellick, Laois","Males","Higher certificate","Number","385"
"Population aged 15 years and over by sex and highest level of education completed","2022","Borris-In-Ossory-Mountmellick, Laois","Males","Ordinary bachelor degree or national diploma","Number","521"
"Population aged 15 years and over by sex and highest level of education completed","2022","Borris-In-Ossory-Mountmellick, Laois","Males","Honours bachelor degree, professional qualification or both","Number","627"
"Population aged 15 years and over by sex and highest level of education completed","2022","Borris-In-Ossory-Mountmellick, Laois","Males","Postgraduate diploma or degree","Number","343"
"Population aged 15 years and over by sex and highest level of education completed","2022","Borris-In-Ossory-Mountmellick, Laois","Males","Doctorate(Ph.D) or higher","Number","30"
"Population aged 15 years and over by sex and highest level of education completed","2022","Borris-In-Ossory-Mountmellick, Laois","Males","Not stated","Number","324"
"Population aged 15 years and over by sex and highest level of education completed","2022","Borris-In-Ossory-Mountmellick, Laois","Males","Total","Number","8714"
"Population aged 15 years and over by sex and highest level of education completed","2022","Borris-In-Ossory-Mountmellick, Laois","Females","No formal education","Number","216"
"Population aged 15 years and over by sex and highest level of education completed","2022","Borris-In-Ossory-Mountmellick, Laois","Females","Primary education","Number","735"
"Population aged 15 years and over by sex and highest level of education completed","2022","Borris-In-Ossory-Mountmellick, Laois","Females","Lower secondary","Number","1141"
"Population aged 15 years and over by sex and highest level of education completed","2022","Borris-In-Ossory-Mountmellick, Laois","Females","Upper secondary","Number","1962"
"Population aged 15 years and over by sex and highest level of education completed","2022","Borris-In-Ossory-Mountmellick, Laois","Females","Technical or vocational qualification","Number","871"
"Population aged 15 years and over by sex and highest level of education completed","2022","Borris-In-Ossory-Mountmellick, Laois","Females","Advanced certificate/Completed apprenticeship","Number","387"
"Population aged 15 years and over by sex and highest level of education completed","2022","Borris-In-Ossory-Mountmellick, Laois","Females","Higher certificate","Number","603"
"Population aged 15 years and over by sex and highest level of education completed","2022","Borris-In-Ossory-Mountmellick, Laois","Females","Ordinary bachelor degree or national diploma","Number","703"
"Population aged 15 years and over by sex and highest level of education completed","2022","Borris-In-Ossory-Mountmellick, Laois","Females","Honours bachelor degree, professional qualification or both","Number","1107"
