Statistic Label,Census Year,Sex,General Health,CSO Local Electoral Areas 2022,UNIT,VALUE
General Health of Population,2022,Males,Very Good,"Borris-In-Ossory-Mountmellick, Laois",Number,7211
General Health of Population,2022,Males,Very Good,"Portlaoise, Laois",Number,8962
General Health of Population,2022,Males,Very Good,"Graiguecullen -Portarlington, Laois",Number,8523
General Health of Population,2022,Males,Very Good,"Carlow, Carlow",Number,6037
General Health of Population,2022,Males,Very Good,"Tullow, Carlow",Number,5153
General Health of Population,2022,Males,Very Good,"Muinebeag, Carlow",Number,4722
General Health of Population,2022,Males,Very Good,"Manorhamilton, Leitrim",Number,3089
General Health of Population,2022,Males,Very Good,"Ballinamore, Leitrim",Number,2895
General Health of Population,2022,Males,Very Good,"Carrick-On-Shannon, Leitrim",Number,3221
General Health of Population,2022,Males,Very Good,"Newcastle West, Limerick",Number,7629
General Health of Population,2022,Males,Very Good,"Adare-Rathkeale, Limerick",Number,7786
General Health of Population,2022,Males,Very Good,"Cappamore-Kilmallock, Limerick",Number,9800
General Health of Population,2022,Males,Very Good,"Limerick City West, Limerick",Number,9223
General Health of Population,2022,Males,Very Good,"Limerick City North, Limerick",Number,7595
General Health of Population,2022,Males,Very Good,"Limerick City East, Limerick",Number,9817
General Health of Population,2022,Males,Very Good,"Granard, Longford",Number,3070
General Health of Population,2022,Males,Very Good,"Ballymahon, Longford",Number,4071
General Health of Population,2022,Males,Very Good,"Longford, Longford",Number,3963
General Health of Population,2022,Males,Very Good,"Dundalk-Carlingford, Louth",Number,6311
General Health of Population,2022,Males,Very Good,"Dundalk South, Louth",Number,10104
General Health of Population,2022,Males,Very Good,"Ardee, Louth",Number,7514
General Health of Population,2022,Males,Very Good,"Drogheda Rural, Louth",Number,5612
General Health of Population,2022,Males,Very Good,"Drogheda Urban, Louth",Number,6526
General Health of Population,2022,Males,Very Good,"Ballina, Mayo",Number,6712
General Health of Population,2022,Males,Very Good,"Claremorris, Mayo",Number,7408
General Health of Population,2022,Males,Very Good,"Castlebar, Mayo",Number,8393
General Health of Population,2022,Males,Very Good,"Belmullet, Mayo",Number,2918
General Health of Population,2022,Males,Very Good,"Westport, Mayo",Number,5256
General Health of Population,2022,Males,Very Good,"Swinford, Mayo",Number,4537
General Health of Population,2022,Males,Very Good,"Kells, Meath",Number,9560
General Health of Population,2022,Males,Very Good,"Laytown-Bettystown, Meath",Number,11451
General Health of Population,2022,Males,Very Good,"Ashbourne, Meath",Number,9664
General Health of Population,2022,Males,Very Good,"Ratoath, Meath",Number,12000
General Health of Population,2022,Males,Very Good,"Trim, Meath",Number,9565
General Health of Population,2022,Males,Very Good,"Navan, Meath",Number,10665
General Health of Population,2022,Males,Very Good,"Monaghan, Monaghan",Number,6415
General Health of Population,2022,Males,Very Good,"Carrickmacross-Castleblayney, Monaghan",Number,6519
General Health of Population,2022,Males,Very Good,"Ballybay-Clones, Monaghan",Number,5379
General Health of Population,2022,Males,Very Good,"Birr, Offaly",Number,7075
General Health of Population,2022,Males,Very Good,"Tullamore, Offaly",Number,8092
General Health of Population,2022,Males,Very Good,"Edenderry, Offaly",Number,6555
General Health of Population,2022,Males,Very Good,"Boyle, Roscommon",Number,6134
General Health of Population,2022,Males,Very Good,"Roscommon, Roscommon",Number,6304
General Health of Population,2022,Males,Very Good,"Athlone, Roscommon",Number,6044
General Health of Population,2022,Males,Very Good,"Ballymote-Tobercurry, Sligo",Number,7584
General Health of Population,2022,Males,Very Good,"Sligo-Drumcliff, Sligo",Number,5391
General Health of Population,2022,Males,Very Good,"Sligo-Strandhill, Sligo",Number,5293
General Health of Population,2022,Males,Very Good,"Cavan-Belturbet, Cavan",Number,7108
General Health of Population,2022,Males,Very Good,"Bailieborough-Cootehill, Cavan",Number,7394
General Health of Population,2022,Males,Very Good,"Ballyjamesduff, Cavan",Number,7881
General Health of Population,2022,Males,Very Good,"Nenagh, Tipperary",Number,5987
General Health of Population,2022,Males,Very Good,"Roscrea-Templemore, Tipperary",Number,4615
General Health of Population,2022,Males,Very Good,"Carrick-On-Suir, Tipperary",Number,5306
General Health of Population,2022,Males,Very Good,"Clonmel, Tipperary",Number,6083
General Health of Population,2022,Males,Very Good,"Cashel-Tipperary, Tipperary",Number,7515
General Health of Population,2022,Males,Very Good,"Newport, Tipperary",Number,5095
General Health of Population,2022,Males,Very Good,"Thurles, Tipperary",Number,5092
General Health of Population,2022,Males,Very Good,"Cahir, Tipperary",Number,4006
General Health of Population,2022,Males,Very Good,"Dungarvan, Waterford",Number,6026
General Health of Population,2022,Males,Very Good,"Portlaw-Kilmacthomas, Waterford",Number,5338
General Health of Population,2022,Males,Very Good,"Lismore, Waterford",Number,3142
General Health of Population,2022,Males,Very Good,"Tramore-Waterford City West, Waterford",Number,6149
General Health of Population,2022,Males,Very Good,"Waterford City South, Waterford",Number,5843
General Health of Population,2022,Males,Very Good,"Waterford City East, Waterford",Number,6723
General Health of Population,2022,Males,Very Good,"Athlone, Westmeath",Number,6108
General Health of Population,2022,Males,Very Good,"Moate, Westmeath",Number,5450
General Health of Population,2022,Males,Very Good,"Kinnegad, Westmeath",Number,6314
General Health of Population,2022,Males,Very Good,"Mullingar, Westmeath",Number,7170
General Health of Population,2022,Males,Very Good,"Gorey, Wexford",Number,8400
General Health of Population,2022,Males,Very Good,"Kilmuckridge, Wexford",Number,5019
General Health of Population,2022,Males,Very Good,"New Ross, Wexford",Number,7860
General Health of Population,2022,Males,Very Good,"Rosslare, Wexford",Number,6051
General Health of Population,2022,Males,Very Good,"Wexford, Wexford",Number,8006
General Health of Population,2022,Males,Very Good,"Enniscorthy, Wexford",Number,7418
General Health of Population,2022,Males,Very Good,"Baltinglass, Wicklow",Number,7815
General Health of Population,2022,Males,Very Good,"Bray West, Wicklow",Number,5231
General Health of Population,2022,Males,Very Good,"Greystones, Wicklow",Number,9124
General Health of Population,2022,Males,Very Good,"Wicklow, Wicklow",Number,9293
General Health of Population,2022,Males,Very Good,"Arklow, Wicklow",Number,7357
General Health of Population,2022,Males,Very Good,"Bray East, Wicklow",Number,4328
General Health of Population,2022,Males,Very Good,"Rush-Lusk, Fingal",Number,11777
General Health of Population,2022,Males,Very Good,"Swords, Fingal",Number,12876
General Health of Population,2022,Males,Very Good,"Blanchardstown-Mulhuddart, Fingal",Number,10039
General Health of Population,2022,Males,Very Good,"Castleknock, Fingal",Number,13389
General Health of Population,2022,Males,Very Good,"Howth-Malahide, Fingal",Number,20118
General Health of Population,2022,Males,Very Good,"Stillorgan, Dún Laoghaire-Rathdown",Number,10120
General Health of Population,2022,Males,Very Good,"Dundrum, Dún Laoghaire-Rathdown",Number,9350
General Health of Population,2022,Males,Very Good,"Glencullen-Sandyford, Dún Laoghaire-Rathdown",Number,14650
General Health of Population,2022,Males,Very Good,"Killiney-Shankill, Dún Laoghaire-Rathdown",Number,11043
General Health of Population,2022,Males,Very Good,"Dún Laoghaire, Dún Laoghaire-Rathdown",Number,13356
General Health of Population,2022,Males,Very Good,"Blackrock, Dún Laoghaire-Rathdown",Number,10222
General Health of Population,2022,Males,Very Good,"Lucan, South Dublin",Number,16009
General Health of Population,2022,Males,Very Good,"Tallaght Central, South Dublin",Number,8260
General Health of Population,2022,Males,Very Good,"Rathfarnham-Templeogue, South Dublin",Number,15086
General Health of Population,2022,Males,Very Good,"Firhouse-Bohernabreena, South Dublin",Number,11290
General Health of Population,2022,Males,Very Good,"Tallaght South, South Dublin",Number,10971
General Health of Population,2022,Males,Very Good,"Clondalkin, South Dublin",Number,12951
General Health of Population,2022,Males,Very Good,"Balbriggan, Fingal",Number,10948
General Health of Population,2022,Males,Very Good,"Ongar, Fingal",Number,11944
