Statistic Label,Census Year,Local Electoral Area,Age,Sex,UNIT,VALUE
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 0,Males,Number,171
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 0,Females,Number,149
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 0,Both Sexes,Number,320
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 1,Males,Number,168
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 1,Females,Number,133
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 1,Both Sexes,Number,301
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 2,Males,Number,171
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 2,Females,Number,154
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 2,Both Sexes,Number,325
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 3,Males,Number,180
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 3,Females,Number,161
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 3,Both Sexes,Number,341
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 4,Males,Number,188
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 4,Females,Number,159
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 4,Both Sexes,Number,347
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 5,Males,Number,172
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 5,Females,Number,184
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 5,Both Sexes,Number,356
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 6,Males,Number,206
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 6,Females,Number,158
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 6,Both Sexes,Number,364
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 7,Males,Number,181
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 7,Females,Number,194
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 7,Both Sexes,Number,375
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 8,Males,Number,178
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 8,Females,Number,171
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 8,Both Sexes,Number,349
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 9,Males,Number,217
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 9,Females,Number,182
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 9,Both Sexes,Number,399
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 10,Males,Number,225
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 10,Females,Number,174
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 10,Both Sexes,Number,399
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 11,Males,Number,233
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 11,Females,Number,181
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 11,Both Sexes,Number,414
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 12,Males,Number,215
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 12,Females,Number,235
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 12,Both Sexes,Number,450
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 13,Males,Number,222
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 13,Females,Number,184
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 13,Both Sexes,Number,406
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 14,Males,Number,199
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 14,Females,Number,204
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 14,Both Sexes,Number,403
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 15,Males,Number,203
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 15,Females,Number,223
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 15,Both Sexes,Number,426
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 16,Males,Number,187
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 16,Females,Number,177
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 16,Both Sexes,Number,364
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 17,Males,Number,203
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 17,Females,Number,209
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 17,Both Sexes,Number,412
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 18,Males,Number,210
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 18,Females,Number,198
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 18,Both Sexes,Number,408
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 19,Males,Number,164
