"","cso_lea","longitude","latitude","prmry_cm","min_dist"
"1","ADARE-RATHKEALE",-8.88577942357796,52.5603081691674,97.3,19694.1090250338
"2","ARDEE",-6.47965353758314,53.8683667185001,90.8,12824.6627019305
"3","ARKLOW",-6.27070529682158,52.8847877067034,91.8,16987.4920914137
"4","ARTANE-WHITEHALL",-6.22229914650779,53.3933478987712,88.6,4118.62918520154
"5","ASHBOURNE",-6.46500807441647,53.5853931141394,87.6,11690.5777531884
"6","ATHENRY-ORANMORE",-8.81261791861743,53.342273340235,91.2,13221.7864942695
"7","ATHLONE",-7.86792217355786,53.4462107498434,87.9,10973.3891728478
"8","ATHLONE",-7.86792217355786,53.4462107498434,79.6,10973.3891728478
"9","ATHLONE",-8.13419421720556,53.4632447470579,87.9,18141.4549330818
"10","ATHLONE",-8.13419421720556,53.4632447470579,79.6,18141.4549330818
"11","ATHY",-6.88861636137488,53.0030846328066,91.2,21477.4548887651
"12","BAILIEBOROUGH-COOTEHILL",-7.08867674322545,53.9842219036714,88.8,15327.8931513194
"13","BALBRIGGAN",-6.16391141834053,53.5742852559663,84.5,15828.6934730072
"14","BALLINA",-9.29066472594523,54.1453596311413,92.4,33567.9768637187
"15","BALLINAMORE",-7.83431636179524,54.0328320225869,90.4,19617.7172458979
"16","BALLINASLOE",-8.41413611856244,53.4540324717559,92.5,24179.267103186
"17","BALLYBAY-CLONES",-7.01823059850664,54.1327992309749,86.6,17768.9921986766
"18","BALLYFERMOT-DRIMNAGH",-6.34620423764291,53.335140948379,83.7,2022.96311353767
"19","BALLYJAMESDUFF",-7.30020595441809,53.8702290723807,88.1,13030.4238401698
"20","BALLYMAHON",-7.80388068063868,53.6246237379073,75.7,15857.676837199
"21","BALLYMOTE-TOBERCURRY",-8.66824916460959,54.1138135188463,93,21326.6483360186
"22","BALLYMUN-FINGLAS",-6.28929516875222,53.3908098587037,82.6,4080.57245934128
"23","BALTINGLASS",-6.54289298428731,52.9662878042877,91.5,25194.7797507741
"24","BANDON-KINSALE",-8.67342288912347,51.7208916831547,91.1,24215.4350280808
"25","BANTRY-WEST CORK",-9.55276012089398,51.6588291017258,93.6,7479.87533320235
"26","BELMULLET",-9.77534377171879,54.1017885987251,98.1,45439.5818187964
"27","BIRR",-7.84174575647196,53.1362239944492,94.1,24031.0791495226
"28","BLACKROCK",-6.18327916491828,53.2924258421888,98.4,2877.63479506709
"29","BLANCHARDSTOWN-MULHUDDART",-6.34446203162984,53.4180941527164,67.8,8201.31703213768
"30","BORRIS-IN-OSSORY-MOUNTMELLICK",-7.5151525107118,52.9923187737111,96,16192.6560864576
"31","BOYLE",-8.22486075672413,53.8975282105132,88.9,10111.4960829599
"32","BRAY EAST",-6.10636588641122,53.1984506906847,97.2,7468.51682573756
"33","BRAY WEST",-6.21513916568771,53.1726354673818,94.9,10758.5201558162
"34","BUNCRANA",-7.39940518710098,55.0953609921129,63.3,25002.6000229615
"35","CABRA-GLASNEVIN",-6.30573720667695,53.3638194306431,89.3,2897.02088715227
"36","CAHIR",-7.96479123728789,52.3161385682932,89.4,16407.0250277448
"37","CALLAN-THOMASTOWN",-7.18584416459353,52.5209218056128,96.7,14769.5355571378
"38","CAPPAMORE-KILMALLOCK",-8.43237730145434,52.466365827218,95.6,24826.8926591988
"39","CARLOW",-6.89397143105632,52.8315610633635,85.2,4338.03785833373
"40","CARNDONAGH",-7.23256036641916,55.2512397905877,72.9,44526.3887649693
"41","CARRICK-ON-SHANNON",-7.93267284580052,53.9246247876454,85.6,10768.2772659149
"42","CARRICK-ON-SUIR",-7.60503149973207,52.5148504028256,94.4,19809.0600432186
"43","CARRICKMACROSS-CASTLEBLAYNEY",-6.71240542999329,54.0350892183461,81.6,10139.6987415185
"44","CARRIGALINE",-8.42070000132784,51.8050113464181,94,10636.4240094703
"45","CASHEL-TIPPERARY",-8.09472905122169,52.5135675988348,91,30316.1857615639
"46","CASTLEBAR",-9.30676552782504,53.8171320176383,91.5,5608.43031506536
"47","CASTLECOMER",-7.31005699053921,52.7362762834794,96.7,10874.1801383588
"48","CASTLEISLAND",-9.43240157806626,52.229380173305,95.3,19822.5094128116
"49","CASTLEKNOCK",-6.40569047165807,53.374833191351,88.3,7185.85032735164
"50","CAVAN-BELTURBET",-7.64729532615148,54.1154591960247,82.7,25668.5936552892
"51","CELBRIDGE",-6.54912251033908,53.3264419981475,97.1,8183.23535440636
"52","CLANE",-6.88482763964301,53.3323397616311,90.4,23549.3213704698
"53","CLAREMORRIS",-9.05089769099279,53.6668679315711,88.8,23340.8108775988
"54","CLONDALKIN",-6.46622259181875,53.2901087724128,78.8,1388.8968111676
"55","CLONMEL",-7.68981948889634,52.4071920113211,94.7,6515.6160072579
"56","CLONTARF",-6.20311669890613,53.3703484948042,94,3475.65943185215
"57","COBH",-8.37698672910799,51.9637965656069,92.4,9672.5997150661
"58","CONAMARA NORTH",-9.67931612119471,53.4693336809118,92.6,49247.3605346535
"59","CONAMARA SOUTH",-9.39341537566477,53.2820134431324,92.7,26507.6804763505
"60","CORCA DHUIBHNE",-10.1013359047641,52.1840737240031,92.7,29006.5328667875
"61","CORK CITY NORTH EAST",-8.42763120702372,51.9300549979533,91.9,4573.80456189214
"62","CORK CITY NORTH WEST",-8.55818989570274,51.9194768104667,94.1,6852.41020257104
"63","CORK CITY SOUTH CENTRAL",-8.46691192421208,51.8705831666226,91.6,2876.24748458588
"64","CORK CITY SOUTH EAST",-8.40988354366091,51.8732862176115,96.3,4634.78951075522
"65","CORK CITY SOUTH WEST",-8.53765664293479,51.8732304152442,88.5,5576.84790957124
