"","LEA","Center","Distance"
"1","ADARE-RATHKEALE","Carlow Vaccination Centre",133816.57069884
"2","ARDEE","Carlow Vaccination Centre",121491.469599438
"3","ARKLOW","Carlow Vaccination Centre",46526.2161993804
"4","ARTANE-WHITEHALL","Carlow Vaccination Centre",80888.6091739889
"5","ASHBOURNE","Carlow Vaccination Centre",91808.7779950219
"6","ATHENRY-ORANMORE","Carlow Vaccination Centre",137900.310983928
"7","ATHLONE","Carlow Vaccination Centre",93363.7437299401
"8","ATHLONE","Carlow Vaccination Centre",107187.594337622
"9","ATHY","Carlow Vaccination Centre",21477.4548887651
"10","BAILIEBOROUGH-COOTEHILL","Carlow Vaccination Centre",130575.710361226
"11","BALBRIGGAN","Carlow Vaccination Centre",99655.6849882996
"12","BALLINA","Carlow Vaccination Centre",214647.538510346
"13","BALLINAMORE","Carlow Vaccination Centre",147818.738064071
"14","BALLINASLOE","Carlow Vaccination Centre",121081.6307192
"15","BALLYBAY-CLONES","Carlow Vaccination Centre",146860.437075388
"16","BALLYFERMOT-DRIMNAGH","Carlow Vaccination Centre",70782.4054445663
"17","BALLYJAMESDUFF","Carlow Vaccination Centre",119842.240332194
"18","BALLYMAHON","Carlow Vaccination Centre",106699.134769284
"19","BALLYMOTE-TOBERCURRY","Carlow Vaccination Centre",184204.934404683
"20","BALLYMUN-FINGLAS","Carlow Vaccination Centre",78030.2456533914
"21","BALTINGLASS","Carlow Vaccination Centre",32301.7513475028
"22","BANDON-KINSALE","Carlow Vaccination Centre",169142.14205562
"23","BANTRY-WEST CORK","Carlow Vaccination Centre",219300.215515822
"24","BELMULLET","Carlow Vaccination Centre",236054.182285226
"25","BIRR","Carlow Vaccination Centre",69750.0326997426
"26","BLACKROCK","Carlow Vaccination Centre",74085.3973393026
"27","BLANCHARDSTOWN-MULHUDDART","Carlow Vaccination Centre",78567.4535628086
"28","BORRIS-IN-OSSORY-MOUNTMELLICK","Carlow Vaccination Centre",42824.6593632635
"29","BOYLE","Carlow Vaccination Centre",147428.797111789
"30","BRAY EAST","Carlow Vaccination Centre",71054.7469727616
"31","BRAY WEST","Carlow Vaccination Centre",63542.3831770321
"32","BUNCRANA","Carlow Vaccination Centre",255638.794480417
"33","CABRA-GLASNEVIN","Carlow Vaccination Centre",74944.8530364219
"34","CAHIR","Carlow Vaccination Centre",88262.5731830159
"35","CALLAN-THOMASTOWN","Carlow Vaccination Centre",36253.5182950463
"36","CAPPAMORE-KILMALLOCK","Carlow Vaccination Centre",107456.186013944
"37","CARLOW","Carlow Vaccination Centre",4338.03785833373
"38","CARNDONAGH","Carlow Vaccination Centre",271920.211560049
"39","CARRICK-ON-SHANNON","Carlow Vaccination Centre",139816.669002466
"40","CARRICK-ON-SUIR","Carlow Vaccination Centre",55346.7901622195
"41","CARRICKMACROSS-CASTLEBLAYNEY","Carlow Vaccination Centre",136841.782897928
"42","CARRIGALINE","Carlow Vaccination Centre",150476.979563421
"43","CASHEL-TIPPERARY","Carlow Vaccination Centre",84268.9797452441
"44","CASTLEBAR","Carlow Vaccination Centre",192627.71619626
"45","CASTLECOMER","Carlow Vaccination Centre",25704.1177299523
