"","cso_lea","longitude","latitude"
"1","ADARE-RATHKEALE",-8.88577942357796,52.5603081691674
"2","ARDEE",-6.47965353758314,53.8683667185001
"3","ARKLOW",-6.27070529682158,52.8847877067034
"4","ARTANE-WHITEHALL",-6.22229914650779,53.3933478987712
"5","ASHBOURNE",-6.46500807441647,53.5853931141394
"6","ATHENRY-ORANMORE",-8.81261791861743,53.342273340235
"7","ATHLONE",-7.86792217355786,53.4462107498434
"8","ATHLONE",-8.13419421720556,53.4632447470579
"9","ATHY",-6.88861636137488,53.0030846328066
"10","BAILIEBOROUGH-COOTEHILL",-7.08867674322545,53.9842219036714
"11","BALBRIGGAN",-6.16391141834053,53.5742852559663
"12","BALLINA",-9.29066472594523,54.1453596311413
"13","BALLINAMORE",-7.83431636179524,54.0328320225869
"14","BALLINASLOE",-8.41413611856244,53.4540324717559
"15","BALLYBAY-CLONES",-7.01823059850664,54.1327992309749
"16","BALLYFERMOT-DRIMNAGH",-6.34620423764291,53.335140948379
"17","BALLYJAMESDUFF",-7.30020595441809,53.8702290723807
"18","BALLYMAHON",-7.80388068063868,53.6246237379073
"19","BALLYMOTE-TOBERCURRY",-8.66824916460959,54.1138135188463
"20","BALLYMUN-FINGLAS",-6.28929516875222,53.3908098587037
"21","BALTINGLASS",-6.54289298428731,52.9662878042877
"22","BANDON-KINSALE",-8.67342288912347,51.7208916831547
"23","BANTRY-WEST CORK",-9.55276012089398,51.6588291017258
"24","BELMULLET",-9.77534377171879,54.1017885987251
"25","BIRR",-7.84174575647196,53.1362239944492
"26","BLACKROCK",-6.18327916491828,53.2924258421888
"27","BLANCHARDSTOWN-MULHUDDART",-6.34446203162984,53.4180941527164
"28","BORRIS-IN-OSSORY-MOUNTMELLICK",-7.5151525107118,52.9923187737111
"29","BOYLE",-8.22486075672413,53.8975282105132
"30","BRAY EAST",-6.10636588641122,53.1984506906847
"31","BRAY WEST",-6.21513916568771,53.1726354673818
"32","BUNCRANA",-7.39940518710098,55.0953609921129
"33","CABRA-GLASNEVIN",-6.30573720667695,53.3638194306431
"34","CAHIR",-7.96479123728789,52.3161385682932
"35","CALLAN-THOMASTOWN",-7.18584416459353,52.5209218056128
"36","CAPPAMORE-KILMALLOCK",-8.43237730145434,52.466365827218
"37","CARLOW",-6.89397143105632,52.8315610633635
"38","CARNDONAGH",-7.23256036641916,55.2512397905877
"39","CARRICK-ON-SHANNON",-7.93267284580052,53.9246247876454
"40","CARRICK-ON-SUIR",-7.60503149973207,52.5148504028256
"41","CARRICKMACROSS-CASTLEBLAYNEY",-6.71240542999329,54.0350892183461
"42","CARRIGALINE",-8.42070000132784,51.8050113464181
"43","CASHEL-TIPPERARY",-8.09472905122169,52.5135675988348
"44","CASTLEBAR",-9.30676552782504,53.8171320176383
"45","CASTLECOMER",-7.31005699053921,52.7362762834794
"46","CASTLEISLAND",-9.43240157806626,52.229380173305
"47","CASTLEKNOCK",-6.40569047165807,53.374833191351
"48","CAVAN-BELTURBET",-7.64729532615148,54.1154591960247
"49","CELBRIDGE",-6.54912251033908,53.3264419981475
"50","CLANE",-6.88482763964301,53.3323397616311
"51","CLAREMORRIS",-9.05089769099279,53.6668679315711
"52","CLONDALKIN",-6.46622259181875,53.2901087724128
"53","CLONMEL",-7.68981948889634,52.4071920113211
"54","CLONTARF",-6.20311669890613,53.3703484948042
"55","COBH",-8.37698672910799,51.9637965656069
"56","CONAMARA NORTH",-9.67931612119471,53.4693336809118
"57","CONAMARA SOUTH",-9.39341537566477,53.2820134431324
"58","CORCA DHUIBHNE",-10.1013359047641,52.1840737240031
"59","CORK CITY NORTH EAST",-8.42763120702372,51.9300549979533
"60","CORK CITY NORTH WEST",-8.55818989570274,51.9194768104667
"61","CORK CITY SOUTH CENTRAL",-8.46691192421208,51.8705831666226
"62","CORK CITY SOUTH EAST",-8.40988354366091,51.8732862176115
"63","CORK CITY SOUTH WEST",-8.53765664293479,51.8732304152442
"64","DONAGHMEDE",-6.16263010471571,53.3896650082459
"65","DONEGAL",-8.2177698301738,54.6418263962033
"66","DROGHEDA RURAL",-6.34255802828147,53.7620495059209
"67","DROGHEDA URBAN",-6.35014740183551,53.7139564081448
"68","DÚN LAOGHAIRE",-6.13280940013901,53.2803667547216
"69","DUNDALK-CARLINGFORD",-6.30353914500195,54.0374855822105
"70","DUNDALK SOUTH",-6.46282125421831,53.9856145212357
"71","DUNDRUM",-6.25311052242903,53.2928679912841
"72","DUNGARVAN",-7.69740993118266,52.0590365096436
"73","EDENDERRY",-7.20978953912683,53.2790986941984
"74","ENNIS",-8.97676290892189,52.8490737905247
"75","ENNISCORTHY",-6.61844356280283,52.5583740812112
"76","ENNISTIMON",-9.17211765954166,52.9944489454369
"77","FERMOY",-8.32837242689697,52.1623806359066
"78","FIRHOUSE-BOHERNABREENA",-6.33360989075248,53.2376089929016
"79","GALWAY CITY CENTRAL",-9.06648146629929,53.2905712865111
"80","GALWAY CITY EAST",-9.00185337918668,53.2847302061853
"81","GALWAY CITY WEST",-9.10704630855714,53.2677142456813
"82","GLENCULLEN-SANDYFORD",-6.23856675046704,53.2441800267317
"83","GLENTIES",-8.22340497243368,54.9494516633301
"84","GOREY",-6.33910260449106,52.6936801047668
"85","GORT-KINVARA",-8.79947951029259,53.1254327705116
"86","GRAIGUECULLEN-PORTARLINGTON",-7.10376439513823,52.9748173449568
"87","GRANARD",-7.59614467608671,53.8041000174052
"88","GREYSTONES",-6.08057586127346,53.1047658386215
"89","HOWTH-MALAHIDE",-6.15390068976021,53.4180370857686
"90","KANTURK",-8.98349618355499,52.2188570679915
"91","KELLS",-6.89675772115985,53.7539677124216
"92","KENMARE",-9.85388130852714,51.9124700859396
"93","KILDARE",-6.94722476592008,53.1765479374023
"94","KILKENNY",-7.2694391194979,52.6659893063558
"95","KILLALOE",-8.64260400091598,52.8839076455081
"96","KILLARNEY",-9.43675168872862,52.0382396453092
"97","KILLINEY-SHANKILL",-6.14347933680545,53.2345444235238
"98","KILMUCKRIDGE",-6.38722588294831,52.5113794200633
"99","KILRUSH",-9.34730951691641,52.7069215206786
"100","KIMMAGE-RATHMINES",-6.28779830717396,53.3185582664007
"101","KINNEGAD",-7.23023229011824,53.6050890769952
"102","LAYTOWN-BETTYSTOWN",-6.47622508475405,53.7128881513434
"103","LEIXLIP",-6.49755944954043,53.3721642797011
"104","LETTERKENNY",-7.80722100004381,54.9516645096792
"105","LIFFORD-STRANORLAR",-7.75976079755371,54.8268749434291
"106","LIMERICK CITY EAST",-8.54494217944825,52.6518312869841
"107","LIMERICK CITY NORTH",-8.65126782923677,52.6715174144576
"108","LIMERICK CITY WEST",-8.71683983714655,52.6318141235728
"109","LISMORE",-7.89369620329625,52.1460823987074
"110","LISTOWEL",-9.55570879921331,52.4572747368191
"111","LONGFORD",-7.80379964724994,53.7507612485504
"112","LOUGHREA",-8.41679142471852,53.1553718961236
"113","LUCAN",-6.45191681008599,53.3475136000982
"114","MACROOM",-8.96027389813361,51.9251807749935
"115","MALLOW",-8.70112647012526,52.1392773454892
"116","MANORHAMILTON",-8.19112032208467,54.2974458811648
"117","MAYNOOTH",-6.67782255733272,53.3659041549706
"118","MIDLETON",-8.08130110590932,51.9279998530322
"119","MILFORD",-7.74287950022322,55.1100082384122
"120","MOATE",-7.55235283482704,53.4793452972051
"121","MONAGHAN",-6.97646963440238,54.2872840305441
"122","MUINEBEAG",-6.91633430831979,52.6589798896973
"123","MULLINGAR",-7.31688823110386,53.5246966549304
"124","NAAS",-6.60375899309179,53.2178052809501
"125","NAVAN",-6.70671995159733,53.6428451381337
"126","NENAGH",-8.12283170148618,52.9964313030823
"127","NEW ROSS",-6.82677421423667,52.366983579509
"128","NEWBRIDGE",-6.73375003774318,53.161197461851
"129","NEWCASTLE WEST",-9.09676704233163,52.4243858155601
"130","NEWPORT",-8.26854835756159,52.7782393766305
"131","NORTH INNER CITY",-6.24642157690941,53.3529300825288
"132","ONGAR",-6.42737586663171,53.3944527284911
"133","PALMERSTOWN-FONTHILL",-6.38625286632483,53.3484476616153
"134","PEMBROKE",-6.23341559117892,53.3227249994292
"135","PILTOWN",-7.16907954451109,52.3510989509567
"136","PORTLAOISE",-7.30873182759888,52.9713178916616
"137","PORTLAW-KILMACTHOMAS",-7.48115860069659,52.2484814719756
"138","RATHFARNHAM-TEMPLEOGUE",-6.31562659301881,53.2997237753462
"139","RATOATH",-6.56227762236206,53.4714565980988
"140","ROSCOMMON",-8.36320227663228,53.7289878856428
"141","ROSCREA-TEMPLEMORE",-7.84884077212189,52.8286584070039
"142","ROSSLARE",-6.56447649952308,52.2523572817872
"143","RUSH-LUSK",-6.25669113739,53.5384778386419
"144","SHANNON",-8.79012404628885,52.717255245713
"145","SKIBBEREEN-WEST CORK",-9.07896865044479,51.6454530406449
"146","SLIGO-DRUMCLIFF",-8.46906093544346,54.3048059974993
"147","SLIGO-STRANDHILL",-8.5317489607879,54.2678402226195
"148","SOUTH EAST INNER CITY",-6.23823989108056,53.3394116313496
"149","SOUTH WEST INNER CITY",-6.29690934642839,53.340059021961
